"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"SneakyGlades","1","0%","5.00","2.00","3.00","1.00","100%","5.00","3.00","0.00","00:26","3%","0.00","0.00","0.00","6931.00","558.20","4594.00","7580.00","6931.00","3343.00","5483.00","370.00","4928.00","103.00","0.00","61319.00","5105.15","63389.00","10748.00","2070.00","0.00","1.00","9613.00","7152.00","9613.00","2312.00","00:54","00:00","00:00","00:54","00:00","2864.00","230.66","0.00","0.00","0.00","0.00","1%","5%","21.92","1430.00","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","00:00","0","0","1","0.72","6%","5%","32%","7%","7%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"malaha","3","66.7%","12.67","1.67","11.00","1.67","95%","9.11","8.00","0.00","1:25","6%","0.33","0.67","0.00","8736.00","466.93","25836.00","20451.33","6414.44","4377.33","21934.33","3134.33","15162.67","0.00","14855.67","89732.67","5031.33","68717.89","14694.00","0.00","3405.67","0.67","26811.67","21976.67","19429.22","17316.00","00:00","00:00","00:29","00:00","00:00","6757.33","342.68","4.33","1.00","0.00","0.00","38%","21%","28.25","10018.83","0","0","0","0","0","0","0","0","0","0","0","0","0","2310.00","00:00","682.67","0.00","1","0.33","4%","11%","40%","0%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Patienc3","24","50%","11.42","1.46","9.88","1.42","88%","7.74","9.08","0.25","1:00","5%","0.63","0.42","0.04","19426.96","997.42","35156.75","17102.58","13821.76","11087.00","22094.33","4727.92","13032.67","581.96","11302.04","78633.75","4234.80","61274.54","17126.71","3124.63","452.04","2.17","31778.79","27562.63","22787.31","19953.79","9:57","00:02","00:13","00:10","00:00","6477.79","332.26","4.88","0.04","0.29","0.08","30%","19%","25.26","6165.93","0.21","387.46","0.00","0.33","0","0","0","0","0.00","0.00","0.00","0.08","0","170.96","00:00","8.58","0.75","4","0.65","10%","13%","32%","51%","2%","0","0","0%","0","0%","0","0","0","0","0","0","3","0","0","0","0","0"
"Thunderkatz","17","64.7%","13.65","1.35","12.24","1.53","94%","10.43","10.65","0.06","00:58","5%","0.65","0.24","0.00","17273.59","926.63","32529.18","20708.53","12740.14","9551.59","24552.82","5785.41","15487.41","646.76","11124.94","75786.65","4191.04","58574.04","14892.35","983.59","1052.71","1.35","24392.24","20136.12","17089.45","14989.06","3:50","00:03","00:23","00:03","00:00","6896.06","368.13","5.59","0.12","0.24","0.18","29%","21%","24.90","5420.84","2.35","0","0","0","0","0","0","1214.29","0","0","0","0.82","0","2964.76","00:00","211.76","0.24","5","0.71","9%","11%","37%","20%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Iron","14","85.7%","13.71","1.64","12.07","1.07","91%","11.45","10.64","0.14","00:48","4%","0.36","0.29","0.07","17830.21","1087.61","21361.50","20925.64","15989.85","8060.93","15326.21","5186.21","7651.50","534.43","9391.50","61805.71","4010.60","58009.34","10793.86","3677.43","3440.29","1.71","17618.57","14483.86","14697.27","10683.29","3:00","00:10","00:24","00:09","00:00","5114.21","307.98","5.21","0.14","0.29","0.14","52%","25%","26.92","7322.68","2.29","0","0.00","0.07","0","0","0","1445.00","0.00","0.00","0.00","1.71","0","0.00","00:00","0.00","0","5","1.15","10%","9%","34%","20%","4%","0","0","0%","0","0%","0","0","0","0","0","0","9","1","0","0","0","0"
"MrExecutive","11","9.1%","9.36","1.18","8.18","2.00","97%","4.68","6.00","0.09","1:31","7%","1.00","0.45","0.09","21691.73","1084.35","30865.18","28040.82","12017.95","13222.36","20903.73","5206.73","12763.00","823.55","13924.55","76430.27","3848.33","48874.33","17296.64","1734.91","0.00","1.36","32982.64","26056.09","18453.70","22541.09","15:17","00:06","00:19","00:05","00:00","5998.27","293.72","5.45","0.00","0.00","0.45","19%","14%","23.82","4627.99","0.82","1258.91","0.00","0.00","0","0","0","601.18","0","0","0","4.00","0","0","00:00","106.64","0","4","0.67","11%","13%","29%","81%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Recychic","4","50%","11.00","1.25","9.75","1.75","96%","8.08","7.25","0.00","00:56","4%","1.25","0.00","0.00","26366.00","1288.67","23009.25","61795.75","17806.88","18232.00","43479.00","10586.75","30023.00","586.00","12607.00","70903.75","3817.18","54842.54","20761.25","6721.00","3305.50","1.75","32672.25","28077.50","24412.67","22396.75","1:18","00:15","00:04","00:32","00:00","8158.00","394.07","5.25","0.00","0.25","0.00","13%","10%","24.79","5802.56","0","0","0","0","0","0","0","4408.50","0","0","0","0","0","0","00:00","602.25","0","4","0.87","12%","12%","26%","6%","4%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","58","0","0"
"Batman","7","42.9%","10.43","1.57","8.71","1.86","72%","7.55","7.00","0.14","1:21","6%","1.00","0.71","0.00","18332.43","885.42","23895.86","29191.00","14169.40","11038.29","26439.14","5554.29","17187.57","577.00","8404.86","76640.86","3806.60","53365.00","22498.00","4283.00","280.57","2.43","33308.29","28042.00","23193.55","20539.14","4:52","00:09","00:06","00:16","00:00","7234.57","356.01","5.43","0.14","0.14","0.14","26%","15%","25.06","6991.35","0","1213.71","0","0","0","0","0","300.29","0","0","0","3.86","0","5389.86","00:00","0","0.00","4","0.53","8%","13%","30%","29%","3%","0","0","0%","0","0%","2","0","0","0","0","0","8","0","0","0","0","0"
"Hierospliffx","17","76.5%","13.12","0.88","12.18","1.71","85%","8.79","8.76","0.06","1:15","6%","0.82","0.29","0.06","19328.12","1001.49","31557.53","29542.41","12273.24","10405.41","27355.65","5896.47","17906.71","873.76","13189.35","71745.06","3799.31","51073.29","12255.53","2204.06","380.59","1.12","26837.00","21425.41","17087.84","15120.94","2:41","00:14","00:11","00:04","00:00","7365.18","370.16","4.00","0.18","0.29","0.12","33%","19%","27.81","9444.24","0.00","336.94","0","0","0","0","0","2417.47","0.00","0.00","0.00","0.88","0","565.59","00:00","0","0.06","3","0.75","10%","11%","30%","14%","3%","0","0","0%","0","0%","0","0","0","2","0","0","0","0","0","5","0","0"
"Ectar","13","30.8%","7.85","0.62","7.23","2.31","78%","4.53","5.38","0.00","1:32","9%","1.15","0.23","0.00","18008.77","1010.08","23104.31","28313.31","7727.47","11360.46","25296.08","5994.15","16040.62","656.85","7592.31","61025.85","3762.84","31752.97","15536.46","4010.77","0.00","1.54","29911.62","23177.62","13221.17","19799.08","7:46","00:05","00:08","00:14","00:00","5893.15","338.44","3.38","0.00","0.08","0.38","30%","13%","24.52","4748.10","0.31","405.23","0.15","0.08","0","0","0","699.38","0.00","0.00","0.00","6.08","0","0","00:00","0","0","6","0.61","12%","13%","27%","37%","3%","0","0","0%","0","0%","0","0","0","5","0","0","3","4","0","1","0","1"
"alanbydfault","13","92.3%","15.15","1.23","13.92","0.31","95%","15.15","14.23","0.00","00:15","1%","0.23","0.08","0.00","17569.77","885.16","27225.23","25642.69","17569.77","6779.54","20533.23","4037.08","12510.54","1400.00","15594.31","71349.00","3757.33","73103.69","10970.77","1512.15","242.54","1.23","14979.38","14074.77","14979.38","6518.38","3:03","00:10","00:11","00:13","00:00","6751.38","351.21","6.15","0.08","0.15","0.00","45%","27%","28.35","10160.56","0.62","1273.15","0.00","0.46","0","0","0","792.23","0.00","0.00","0.00","0","0","358.31","00:00","0","0.00","6","1.22","9%","7%","35%","16%","3%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","0","0","0","0"
"DroppingBB","11","36.4%","7.45","0.82","6.64","1.00","89%","6.27","6.73","0.00","00:43","4%","0.36","0.18","0.00","16685.09","844.10","19473.36","22986.64","14193.14","7169.09","14612.73","2244.09","9238.82","1138.73","10957.91","64681.55","3721.74","62992.27","8765.36","4788.73","3896.45","1.82","22045.82","19155.00","17572.64","11921.00","4:00","00:17","00:20","00:26","00:00","4656.45","234.60","3.73","0.00","0.09","0.09","25%","10%","25.69","7147.72","1.45","0","0.00","0.64","0","0","0","9.27","0.00","0.00","0.00","2.82","0","350.00","00:00","0.00","1.09","4","0.92","9%","9%","30%","20%","5%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","29","0","0"
"Wesgra","21","71.4%","10.43","0.71","9.67","1.38","94%","8.25","8.29","0.05","1:02","5%","0.76","0.38","0.00","11748.38","602.34","33336.48","24510.38","9147.48","7453.90","29298.00","5788.00","18519.52","414.67","15714.38","68389.10","3609.24","57741.31","10210.19","2350.76","857.48","0.86","30173.05","25986.10","22873.92","17174.33","2:08","00:00","00:10","00:10","00:00","6799.81","346.26","6.19","0.05","0.24","0.10","45%","16%","27.89","9521.16","0.19","155.38","0.10","0.48","0","0","0","2727.71","0","0","0","0","0","20.76","00:00","0.00","0.14","5","0.39","7%","15%","33%","10%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"USAMAFIA","13","23.1%","7.92","1.08","6.77","1.46","89%","6.47","6.38","0.00","00:56","5%","0.69","0.38","0.00","17061.15","999.95","15467.31","27103.38","12614.23","8997.15","19185.85","3044.15","13572.62","374.23","6060.92","59428.31","3571.09","46908.21","13518.31","1950.69","333.31","1.69","22444.15","18492.31","15685.18","13908.08","12:06","00:08","00:04","00:02","00:00","5125.31","291.43","2.92","0.15","0.15","0.08","19%","13%","24.84","5090.48","0.46","121.85","0.00","0.00","0","0","0","186.15","0.00","0.00","0.00","1.38","0","0.00","00:00","184.31","0.08","4","0.80","10%","10%","28%","75%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"RootBeerGuy","13","61.5%","11.15","0.85","10.31","2.23","89%","7.20","8.08","0.08","1:24","7%","0.85","0.54","0.08","14281.69","709.04","25813.77","21026.00","8274.19","8996.23","21783.62","6229.00","13071.77","615.54","9720.77","67874.38","3509.62","43595.89","12239.62","4068.46","2183.31","1.31","32136.77","25496.54","17722.95","20214.92","1:47","00:05","00:11","00:15","00:00","7044.85","349.33","5.31","0.00","0.15","0.15","29%","18%","27.22","9133.80","0.00","1870.38","0.00","0.31","0","0","0","2024.15","0","0","0","0.62","0","0","00:00","0","0","6","0.46","7%","15%","30%","9%","3%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","0","0","0","0"
"Kiyeberries","19","57.9%","9.53","0.63","8.89","2.32","90%","4.79","6.00","0.00","1:32","8%","1.42","0.26","0.00","16700.89","818.06","18171.68","29630.21","8426.42","9432.16","16720.11","3838.74","10163.42","818.37","13601.16","68473.79","3415.60","35516.82","12089.32","1681.95","122.79","0.79","31016.26","24270.16","14316.45","18759.05","3:25","00:06","00:03","00:10","00:00","6247.63","314.52","6.47","0.00","0.26","0.16","21%","14%","25.74","7137.90","0.58","877.21","0","0","0","0","0","2472.21","0.00","0.00","0.00","0","0","49.21","00:00","129.95","0.21","8","0.54","8%","13%","29%","23%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
