"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"OXGCavG","19","57.9%","9.05","1.53","7.53","5.47","82%","2.42","4.58","0.26","3:21","17%","4.00","0.47","0.11","31886.37","1526.90","27345.58","83136.42","7245.84","24307.26","64844.11","5639.42","52440.63","1502.84","13967.84","5434.68","1146.12","5647.35","654.21","17703.26","1131.05","0.11","74262.68","54887.47","16704.78","58704.16","3:06","00:00","00:01","00:22","00:00","10864.16","537.47","2.32","0.68","0.26","0.16","21%","14%","25.74","7137.90","0.32","339.53","0","0","0","0","0","3925.05","0.00","0.00","0.00","0","0","401.74","00:00","183.26","0.05","11","0.41","14%","32%","3%","15%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Tarrasque","19","57.9%","9.26","1.68","7.58","2.74","90%","4.28","5.63","0.42","1:38","8%","1.53","0.95","0.05","46005.74","2262.52","87408.95","107479.05","21257.75","29932.11","119369.32","11789.63","93889.84","2174.00","25149.21","88.21","926.68","9194.92","99.32","18081.21","88.21","0.00","67014.42","60661.00","31008.74","43757.63","3:15","00:00","00:00","00:09","00:00","16609.84","821.74","2.74","0.26","0.26","0.16","21%","14%","25.74","7137.90","0.21","1301.32","0","0","0","0","0","8045.89","0.00","0.00","0.00","0","0","403.26","00:00","1240.00","0.00","5","0.70","22%","28%","0%","16%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Kiyeberries","19","57.9%","9.53","0.63","8.89","2.32","90%","4.79","6.00","0.00","1:32","8%","1.42","0.26","0.00","16700.89","818.06","18171.68","29630.21","8426.42","9432.16","16720.11","3838.74","10163.42","818.37","13601.16","68473.79","3415.60","35516.82","12089.32","1681.95","122.79","0.79","31016.26","24270.16","14316.45","18759.05","3:25","00:06","00:03","00:10","00:00","6247.63","314.52","6.47","0.00","0.26","0.16","21%","14%","25.74","7137.90","0.58","877.21","0","0","0","0","0","2472.21","0.00","0.00","0.00","0","0","49.21","00:00","129.95","0.21","8","0.54","8%","13%","29%","23%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Mochrie","19","57.9%","9.68","3.95","5.68","1.74","90%","6.64","7.79","0.26","1:08","6%","0.84","0.21","0.00","73928.42","3601.82","97864.79","117149.53","49659.70","32371.74","94229.53","17451.68","63445.16","2357.47","43532.58","0.00","145.79","1574.23","3.95","2840.32","0.00","0.00","27024.47","22378.63","16358.90","14630.26","1:28","00:00","00:02","00:04","00:00","12113.79","594.80","5.00","0.05","0.26","0.16","21%","14%","25.74","7137.90","0.68","2560.32","0","0","0","0","0","8928.16","0.00","0.00","0.00","0","0","415.47","00:00","457.84","0.00","9","2.94","34%","12%","0%","8%","1%","0","0","0%","0","0%","1","1","0","0","0","0","0","0","0","0","0","0"
"Coffee","18","61.1%","9.56","3.11","6.39","2.89","90%","4.77","6.06","0.72","2:04","10%","1.44","0.78","0.22","50169.22","2430.83","67290.00","73282.44","22803.95","29068.39","55261.22","13661.89","34226.00","1055.83","33373.44","4015.28","530.44","5403.59","797.72","6602.39","0.00","0.06","34315.61","25747.72","16096.32","21989.00","1:11","00:00","00:01","00:00","00:00","9471.28","461.82","5.94","0.11","0.22","0.11","22%","15%","25.94","7405.09","0.22","3241.61","0","0","0","0","0","3492.33","0","0","0","0","0","564.78","00:00","377.44","0.06","8","1.58","22%","15%","2%","5%","0%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Birdie","17","47.1%","10.47","3.47","6.94","1.06","92%","9.75","8.94","0.24","00:48","4%","0.59","0.18","0.06","49348.59","2608.40","54360.94","123835.12","43410.13","27045.53","98801.41","19167.06","69554.76","474.35","24512.94","0.00","312.62","5421.85","0.88","6627.53","0.00","0.00","32902.06","29108.59","27612.62","18301.59","1:23","00:00","00:05","00:04","00:00","13858.65","722.05","4.71","0.00","0.06","0.00","41%","18%","26.61","7300.85","0.29","3272.59","0.00","0.41","0","0","0","5587.00","0","0","0","0","0","0","00:00","312.88","0","8","1.70","29%","15%","0%","7%","1%","0","0","0%","0","0%","0","0","0","0","0","0","3","1","0","1","0","0"
"kee1108","17","47.1%","10.76","1.24","9.53","1.12","95%","9.32","8.35","0.12","00:55","4%","0.41","0.18","0.00","12139.41","644.86","23604.35","18475.65","9739.68","5823.00","16263.18","4550.76","9088.06","239.06","12448.82","62047.18","3372.48","50494.00","8844.35","1894.24","0.00","1.12","22759.41","18679.94","16411.32","12459.65","2:14","00:04","00:12","00:13","00:00","5341.24","282.06","5.82","0.00","0.06","0.00","41%","18%","26.61","7300.85","0.53","2044.18","0.00","0.71","0","0","0","2127.18","0","0","0","0","0","0","00:00","132.00","0","6","0.68","7%","11%","29%","11%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Aero","17","41.2%","6.59","2.29","4.29","2.59","76%","4.45","4.47","0.41","1:38","9%","1.18","0.94","0.18","46325.88","2268.65","53648.53","118558.12","26106.98","31263.65","107178.53","10035.59","85103.24","802.71","17316.12","0.00","763.70","7736.85","1.76","15117.65","0.00","0.00","54981.65","45884.71","27136.93","37326.47","00:49","00:04","00:00","00:10","00:00","15248.53","807.99","2.41","0.06","0.06","0.12","16%","12%","24.83","6292.88","1.76","410.53","0","0","0","0","0","4533.59","0.00","0.00","0.00","0","0","297.47","00:00","104.65","0.35","6","0.86","24%","23%","0%","4%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","5","0","0"
"Mudge","17","41.2%","7.47","1.24","6.24","2.65","90%","4.64","5.06","0.18","1:37","8%","1.59","1.35","0.24","30390.82","1632.07","33848.59","47282.65","18467.13","23516.24","40082.53","8789.47","25139.35","517.12","9564.41","2135.59","1427.10","17531.06","889.82","26793.53","359.71","0.00","81982.24","70898.12","43570.22","64664.47","2:04","00:00","00:03","00:21","00:00","7394.94","385.13","2.76","0.59","0.06","0.12","16%","12%","24.83","6292.88","0.24","586.18","0","0","0","0","0","1004.41","0.00","0.00","0.00","0","0","64.29","00:00","235.12","0.24","7","0.43","16%","34%","1%","9%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"RabidPenguin","17","41.2%","7.18","2.35","4.71","2.82","88%","4.12","4.76","0.41","1:55","9%","1.00","0.76","0.06","49658.53","2638.53","85054.65","77250.88","25962.54","32003.29","78874.76","13913.88","49644.88","820.94","25675.53","0.00","320.49","2121.82","0.88","6051.35","0.00","0.00","39340.24","30361.35","16203.50","27224.12","00:33","00:02","00:00","00:07","00:00","10403.71","530.50","5.29","0.00","0.06","0.12","16%","12%","24.83","6292.88","0.47","542.47","0","0","0","0","0","2752.71","0.00","0.00","0.00","0","0","426.47","00:00","1063.12","0.00","9","1.50","27%","17%","0%","3%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
