"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Muffiñ","27","55.6%","12.22","2.52","9.67","2.96","90%","4.89","7.07","0.67","1:51","9%","1.52","1.07","0.41","33743.70","1741.52","27129.74","61826.15","13104.08","24660.22","46704.15","7642.07","33382.70","698.85","8848.26","11453.00","1386.73","10791.00","3056.48","16261.70","0.00","0.19","81069.78","68519.70","31552.06","62968.22","3:04","00:00","00:03","00:25","00:00","8822.70","455.27","3.15","0.15","0.30","0.07","33%","20%","25.66","6984.66","0.33","164.19","0.00","0.48","0","0","0","0","0.00","0.00","0.00","1.59","0","104.70","00:00","48.11","0.11","9","0.42","17%","34%","4%","16%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"infafox","27","55.6%","12.00","3.85","8.04","2.19","90%","8.13","9.07","0.48","1:33","8%","0.93","0.67","0.11","59388.41","3032.61","52220.07","131872.67","37175.64","35806.78","94080.67","18985.56","63992.07","1735.74","27839.89","1458.41","632.90","8044.76","79.44","11622.85","0.00","0.00","45544.26","38754.56","26881.42","29585.33","2:00","00:01","00:00","00:03","00:00","12082.07","610.90","4.56","0.11","0.30","0.07","33%","20%","25.66","6984.66","0.93","2168.74","0.07","0.07","0","0","0","0","0.00","0.00","0.00","1.63","0","355.52","00:00","842.30","0.07","13","1.56","31%","18%","1%","10%","1%","0","0","0%","0","0%","0","0","0","0","0","0","13","1","0","1","0","0"
"Patienc3","27","55.6%","12.30","1.63","10.59","1.41","88%","8.31","9.44","0.22","1:01","5%","0.63","0.37","0.04","19462.41","976.85","35835.81","18685.07","13597.84","11029.41","23070.63","4894.74","13449.48","517.30","12106.85","81501.15","4260.05","61650.09","17521.81","2886.56","600.22","2.07","31697.96","27445.78","22100.75","20011.85","9:17","00:02","00:14","00:11","00:00","6776.15","337.36","5.19","0.04","0.30","0.07","33%","20%","25.66","6984.66","0.19","344.41","0.00","0.30","0","0","0","0","0.00","0.00","0.00","0.07","0","151.96","00:00","39.07","0.67","4","0.69","10%","12%","32%","47%","3%","0","0","0%","0","0%","0","0","0","0","0","0","3","0","0","0","0","0"
"Confused","27","55.6%","12.33","3.41","8.81","1.56","93%","9.84","9.59","0.26","1:12","6%","0.70","0.52","0.15","51738.00","2676.87","57900.81","106809.96","38829.17","32141.56","82707.93","17253.63","53528.19","1548.37","27827.56","3468.67","334.87","3165.66","1164.19","2509.81","34.78","0.00","29346.74","318169599.37","21777.92","19159.93","00:50","00:00","00:05","00:02","00:00","10648.63","537.17","5.19","0.00","0.30","0.07","33%","20%","25.66","6984.66","0.59","74.19","0.00","0.19","0","0","0","0","0.00","0.00","0.00","1.04","0","373.33","00:00","59.15","0.00","7","5615.06","27%","11%","2%","4%","1%","0","0","0%","0","0%","0","0","0","1","0","0","0","0","0","0","0","0"
"Wipeout","25","60%","10.28","1.80","8.48","1.88","70%","6.66","7.32","0.52","00:48","4%","1.16","1.04","0.08","29395.96","1461.80","76466.36","100768.00","18543.20","13643.12","129547.88","15837.04","103463.00","929.64","15044.84","4080.84","1235.15","16109.46","1110.84","20079.68","657.44","0.04","63051.72","58984.04","39150.98","25512.16","1:47","00:03","00:00","00:08","00:00","21968.96","1120.04","2.40","0.40","0.32","0.08","35%","21%","25.88","7328.33","3.08","20.80","0.20","0.68","0","0","0","0","0.00","0.00","0.00","2.48","0","491.52","00:00","251.44","0.44","11","1.88","14%","25%","2%","9%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"MRTėal","23","52.2%","11.83","1.52","10.30","2.30","82%","7.11","8.78","0.26","1:40","8%","1.22","0.52","0.04","23001.30","1159.85","22062.26","52028.00","13261.43","18485.48","43191.35","7885.65","31172.04","1068.83","7124.70","29.22","1093.99","12154.38","223.91","21791.52","29.22","0.00","73308.30","62598.57","40616.13","55669.30","1:11","00:00","00:03","00:23","00:00","9036.74","457.21","3.74","0.04","0.22","0.22","30%","19%","25.56","6926.02","0.17","81.17","0.04","0.26","0","0","0","679.78","0.00","0.00","0.00","2.83","0","186.00","00:00","0","0.00","3","0.31","12%","35%","0%","6%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"syhr","23","47.8%","10.04","3.52","6.52","2.39","87%","5.84","7.09","0.52","1:59","9%","1.26","0.43","0.04","67127.65","3169.88","53630.30","151244.61","35492.67","41090.78","108368.43","20346.04","73351.61","1607.48","25226.91","141.39","368.31","4020.73","0.65","7592.96","141.39","0.00","38918.70","30789.00","18809.48","26404.70","2:28","00:06","00:03","00:04","00:00","14026.52","658.21","4.48","0.00","0.13","0.30","18%","15%","25.84","7692.53","0.48","1918.22","0.09","0.04","0","0","0","5184.96","0.00","0.00","0.00","0.83","0","0","00:00","569.83","0.04","13","2.18","30%","16%","0%","13%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"MRcoldfashnd","23","52.2%","12.00","4.87","7.00","2.00","85%","8.09","9.30","0.74","1:25","7%","0.78","0.43","0.04","52648.96","2674.84","35891.91","138638.43","33761.68","34842.09","90570.61","20129.52","58068.22","2383.78","28284.26","334.30","335.68","3965.07","111.09","6066.52","327.70","0.00","28124.70","22605.13","16311.06","19020.65","1:52","00:01","00:00","00:02","00:00","11348.65","572.98","6.04","0.00","0.22","0.22","30%","19%","25.56","6926.02","0.17","1014.87","0.09","0.17","0","0","0","2889.61","0.00","0.00","0.00","3.30","0","303.74","00:00","0","0.04","3","2.07","29%","13%","0%","9%","0%","0","0","0%","0","0%","0","0","0","0","0","0","22","2","0","8","0","0"
"MRGGGrace","23","52.2%","10.22","2.70","7.52","2.22","73%","6.54","7.48","0.35","1:40","8%","1.00","0.83","0.04","37721.96","1922.58","67416.43","126577.87","22752.98","23421.70","134441.57","8393.26","113586.22","1681.70","20683.39","295.48","989.20","11032.06","200.26","19114.13","223.87","0.04","51835.43","46019.96","29217.55","30939.65","1:02","00:00","00:02","00:04","00:00","19967.96","1011.36","3.74","0.00","0.22","0.22","30%","19%","25.56","6926.02","2.48","221.09","0.13","0.39","0","0","0","2608.91","0.00","0.00","0.00","8.17","0","98.43","00:00","0","0.22","3","0.79","21%","24%","0%","5%","1%","0","0","0%","0","0%","0","0","0","0","0","0","11","0","0","0","0","0"
"Realistic","23","47.8%","10.13","1.00","9.13","2.26","90%","5.88","6.70","0.13","1:42","8%","1.09","0.35","0.00","38791.70","1826.29","26783.35","73550.13","23929.27","14488.39","44834.39","10665.26","28943.43","695.13","15257.09","51252.78","2649.73","26042.32","7604.65","3258.96","539.57","0.87","24807.78","18436.87","11208.64","14844.52","1:24","00:02","00:06","00:19","00:00","7707.30","354.89","5.04","0.00","0.13","0.30","18%","15%","25.84","7692.53","1.04","700.87","0.00","0.30","0","0","0","3150.61","0.00","0.00","0.00","0.00","0","0","00:00","219.52","0.00","9","2.31","17%","10%","22%","7%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
