"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Mongoose","19","68.4%","11.26","1.32","9.84","2.00","90%","8.09","8.32","0.16","1:12","6%","1.16","1.37","0.16","24966.79","1271.52","25708.84","52566.21","16149.32","18288.05","45734.21","6658.47","33411.16","1489.84","8036.00","374.53","835.51","10814.85","62.00","16146.89","147.84","0.05","71504.47","61780.95","43002.48","52404.05","4:46","00:00","00:00","00:21","00:00","8280.68","424.34","4.58","0.11","0.26","0.21","37%","17%","26.22","7873.44","0.26","0","0.00","0.32","0","0","0","1034.68","0","0","0","17.63","0","128.05","00:00","0","0","4","0.37","14%","32%","0%","24%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Andrew","19","68.4%","11.42","0.89","10.53","2.05","93%","7.66","8.42","0.11","1:26","7%","0.84","0.32","0.00","15621.21","808.11","28398.95","34437.53","9585.43","8700.37","37552.84","5451.37","26880.53","1227.89","10056.26","68496.26","3475.40","49020.23","10855.84","1396.47","1524.26","1.32","31018.74","24521.63","18083.64","18940.63","8:33","00:03","00:13","00:13","00:00","7786.26","395.62","4.84","0.05","0.26","0.21","37%","17%","26.22","7873.44","0.47","0","0.00","0.21","0","0","0","1372.53","0","0","0","8.95","0","116.05","00:00","0","0","5","0.53","9%","14%","31%","44%","2%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"SaylorTwift","19","47.4%","9.11","3.53","5.53","2.79","92%","4.50","6.63","0.58","1:53","10%","1.53","0.89","0.11","55884.58","2908.27","36871.63","142919.21","26343.11","36798.42","97334.26","16361.42","67640.00","4131.32","24302.42","2879.74","559.84","4299.47","237.00","8527.89","19.74","0.00","40090.68","31492.53","17313.18","27999.11","00:51","00:02","00:00","00:01","00:00","12210.89","634.34","3.53","0.11","0.32","0.26","23%","14%","26.18","7264.17","0.21","2493.53","0.00","0.05","0","0","0","2593.26","0.00","0.00","0.00","2.58","0","222.53","00:00","0","0","10","1.65","32%","18%","1%","4%","0%","0","0","0%","0","0%","3","8","0","2","0","0","17","0","1","383","0","0"
"Lidarok","19","68.4%","11.63","3.47","8.16","1.47","93%","9.45","9.42","0.26","1:02","5%","0.58","0.95","0.21","47479.53","2427.25","93011.68","76161.68","36651.67","23801.26","78646.26","20599.79","46105.63","2016.58","33158.74","0.00","253.70","4534.22","0.00","5213.37","0.00","0.00","33859.68","28630.63","23812.34","19585.26","1:04","00:00","00:03","00:03","00:00","10129.37","507.59","5.89","0.00","0.26","0.21","37%","17%","26.22","7873.44","1.58","0","0.00","0.32","0","0","0","4637.84","0","0","0","10.37","0","436.00","00:00","0","0","6","1.68","27%","15%","0%","5%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","1","0","0"
"aaron","19","68.4%","9.68","2.32","7.37","1.79","79%","6.42","6.95","0.58","00:49","4%","0.68","0.68","0.00","39659.58","1966.22","80553.68","143070.95","24811.66","18785.42","170895.05","19805.42","137688.42","3567.95","13814.58","1426.95","1066.77","13319.68","91.95","19700.95","0.00","0.05","58827.53","55199.32","35572.28","23756.42","00:45","00:00","00:00","00:11","00:00","24028.21","1222.43","2.53","0.26","0.26","0.21","37%","17%","26.22","7873.44","2.63","0","0.37","1.16","0","0","0","3708.58","0","0","0","21.79","0","641.00","00:00","0","0","6","0.73","23%","27%","1%","4%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Scathar","19","47.4%","8.32","2.21","6.11","1.47","80%","7.05","7.68","0.11","1:00","5%","1.21","0.53","0.11","36291.26","1849.07","59800.58","120276.16","26132.58","22395.16","116769.79","18429.16","87063.05","3082.11","24660.47","573.89","1139.68","16569.16","189.89","21131.74","244.84","0.05","55930.37","50464.58","39983.61","32954.42","1:19","00:03","00:01","00:11","00:00","16508.95","851.89","3.32","0.11","0.32","0.26","23%","14%","26.18","7264.17","1.42","1051.95","0.00","0.32","0","0","0","8974.42","0.00","0.00","0.00","12.00","0","238.53","00:00","0","0","9","0.66","21%","26%","0%","7%","1%","0","0","0%","0","0%","34","0","0","20","0","0","23","2","0","0","0","0"
"SirNoble","19","47.4%","8.89","1.47","7.32","2.74","89%","4.74","6.26","0.26","1:38","8%","1.58","0.89","0.26","25254.16","1299.49","28889.16","63455.53","12314.17","20046.11","59284.79","8628.79","44184.53","1390.05","7890.95","1872.68","1130.85","10193.30","286.68","18874.05","1035.63","0.00","75324.74","62901.58","34972.73","58682.89","1:41","00:00","00:01","00:24","00:00","9973.05","518.25","2.74","0.32","0.32","0.26","23%","14%","26.18","7264.17","0.21","1135.00","0.00","0.16","0","0","0","1560.53","0.00","0.00","0.00","12.00","0","278.53","00:00","0","0","7","0.34","15%","34%","1%","9%","2%","0","0","0%","0","0%","8","1","0","79","0","0","11","0","0","0","0","0"
"shamhat","19","47.4%","8.42","0.47","7.95","2.16","88%","5.09","5.58","0.05","1:27","8%","1.32","0.05","0.00","15420.79","814.01","14941.47","30077.79","8404.39","8108.32","20470.74","4216.26","12509.68","1276.26","9027.68","59747.53","3199.83","35928.54","10020.26","2574.21","172.00","1.32","19428.00","12864.53","9592.83","12789.79","1:27","00:08","00:06","00:26","00:00","5343.47","276.33","4.11","0.16","0.32","0.26","23%","14%","26.18","7264.17","0.63","617.74","0.00","0.05","0","0","0","1248.32","0.00","0.00","0.00","1.37","0","74.16","00:00","0","0","7","0.95","9%","9%","27%","8%","4%","0","0","0%","0","0%","55","0","0","32","0","0","64","1","0","0","0","0"
"Dubc613","17","64.7%","10.82","4.18","6.59","1.82","94%","7.31","7.76","0.41","1:23","7%","0.53","0.06","0.06","50240.65","2461.76","30721.82","127851.53","32964.41","23479.12","82966.41","16018.47","54314.29","3035.24","24473.76","0.00","345.15","4051.07","0.00","6791.35","0.00","0.00","24902.65","19139.41","14629.82","14170.94","2:31","00:00","00:00","00:04","00:00","9378.41","467.07","5.88","0.12","0.12","0.24","37%","16%","26.48","8272.52","0.24","0","0.00","0.59","0","0","0","2399.35","0","0","0","3.06","0","364.82","00:00","0","0","4","2.56","28%","11%","0%","13%","0%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Terdodidi","17","58.8%","12.24","3.59","8.65","1.24","92%","9.56","10.29","0.29","00:48","4%","0.59","0.65","0.06","59609.76","2838.29","86879.88","131699.82","45285.48","32604.41","110534.00","23435.24","71970.94","2276.29","41226.59","0.00","157.93","2061.49","0.88","3289.12","0.00","0.00","33576.00","30022.94","24216.22","19429.18","2:10","00:01","00:04","00:01","00:00","13406.65","632.09","6.41","0.00","0.29","0.00","37%","19%","27.98","10017.49","0","8161.53","0.06","0.24","0","0","0","2974.53","0.00","0.00","0.00","7.24","0","746.24","00:00","0","0.00","8","1.91","31%","13%","0%","10%","0%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
