"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"mZ17","20","60%","9.65","1.10","8.55","1.60","95%","6.74","7.15","0.15","00:58","5%","0.90","0.40","0.20","16403.40","816.95","23569.10","19980.40","11086.14","11030.40","18643.10","4927.05","10420.95","1451.00","8470.70","63206.35","3321.24","44232.32","10465.35","1337.10","423.25","1.05","29664.60","25027.75","19023.01","18189.00","1:12","00:03","00:14","00:09","00:00","6231.40","322.01","4.40","0.25","0.15","0.10","22%","14%","26.14","7423.68","1.10","825.50","0.05","0.45","0","0","0","688.50","0","0","0","2.10","0","480.35","00:00","22.20","0.00","6","0.55","8%","12%","28%","6%","2%","0","0","0%","0","0%","0","0","0","3","0","0","1","0","0","0","0","0"
"DeltaSniper","20","60%","9.00","2.80","6.15","1.70","88%","7.11","6.95","0.20","1:08","6%","0.80","0.65","0.05","56205.95","2876.08","42528.00","178510.15","40564.82","22733.95","134497.20","28153.70","88584.55","5540.25","24190.30","20.05","330.53","4710.27","57.30","7317.05","20.05","0.00","26581.90","21507.20","17352.20","12996.70","6:23","00:01","00:00","00:08","00:00","13638.75","690.38","3.45","0.30","0.15","0.10","22%","14%","26.14","7423.68","1.35","2230.40","0.10","0.25","0","0","0","2193.15","0","0","0","3.95","0","2591.85","00:00","988.85","0.00","7","2.42","30%","11%","0%","33%","1%","0","0","0%","0","0%","0","0","0","4","0","0","9","0","0","0","0","0"
"MacDaddyo","20","60%","9.25","2.30","6.90","2.90","90%","3.94","5.50","0.40","1:46","9%","1.55","0.45","0.05","43204.10","2237.48","51714.35","87935.65","16495.29","25691.55","68082.30","14688.40","43382.75","3338.40","26233.85","13557.45","928.04","7202.92","2221.50","4636.20","1464.60","0.10","42468.55","33967.40","15929.33","28243.75","00:45","00:03","00:02","00:10","00:00","9066.00","466.42","4.30","0.25","0.15","0.10","22%","14%","26.14","7423.68","0.40","2953.65","0.05","0.50","0","0","0","1118.20","0","0","0","2.95","0","1049.50","00:00","419.50","0.00","9","1.25","24%","18%","5%","4%","1%","0","0","0%","0","0%","0","0","0","1","0","0","12","1","1","0","0","0"
"MDC","20","60%","8.65","1.35","7.30","2.75","87%","4.24","5.90","0.35","1:48","9%","1.50","0.70","0.10","24312.85","1235.52","25529.10","57919.55","10965.62","18777.80","50296.05","9542.45","33591.80","2390.05","7363.15","359.55","1190.34","10105.41","132.75","22154.20","359.55","0.00","77762.95","64444.80","34281.40","57575.40","2:49","00:00","00:04","00:20","00:00","8026.05","405.82","2.50","0.30","0.15","0.10","22%","14%","26.14","7423.68","0.00","2790.85","0.00","0.20","0","0","0","603.75","0","0","0","6.85","0","734.10","00:00","254.65","0.00","8","0.31","13%","34%","0%","14%","2%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"HuckIt","20","60%","7.65","2.50","5.15","2.20","75%","4.52","5.25","0.45","1:27","7%","1.20","0.35","0.10","45619.50","2315.83","57615.95","129172.70","25603.17","26028.15","119769.30","15228.60","91872.35","3629.70","17554.20","0.00","1074.06","11527.22","146.00","20590.55","0.00","0.00","54903.75","47608.75","28339.93","31235.50","1:57","00:04","00:01","00:09","00:00","17684.90","927.73","2.90","0.30","0.15","0.10","22%","14%","26.14","7423.68","1.40","1348.15","0.00","1.05","0","0","0","1805.00","0","0","0","7.15","0","2832.45","00:00","566.35","0.00","8","0.95","24%","24%","0%","10%","1%","0","0","0%","0","0%","0","0","0","2","0","0","4","0","0","0","0","0"
"Xanthanarium","19","84.2%","9.63","1.32","8.32","2.89","93%","5.54","6.47","0.53","1:59","8%","1.63","0.79","0.05","26952.42","1201.82","39261.05","55395.37","13781.78","20409.58","53220.58","13811.84","33838.21","1652.74","13610.58","3072.32","1691.58","20411.45","962.63","33591.05","329.26","0.00","93633.68","79013.37","47028.58","72064.11","1:00","00:00","00:03","00:20","00:00","9339.26","427.16","5.11","0.00","0.16","0.00","36%","17%","27.85","10378.70","0","640.00","0.00","0.16","0","0","0","2371.26","0","0","0","14.37","0","0","00:00","167.26","0.05","5","0.29","13%","36%","1%","4%","2%","0","0","0%","0","0%","0","0","0","0","0","0","3","0","0","0","0","0"
"RandomTask","19","68.4%","12.68","1.84","10.84","2.37","91%","7.57","9.26","0.11","1:44","8%","1.42","0.84","0.26","28096.05","1343.21","30542.26","51391.84","15276.67","21363.32","41497.63","10573.37","26838.68","1589.00","11677.26","128.32","1278.94","13217.33","90.32","25980.37","27.84","0.00","82461.79","70752.37","40900.60","62771.89","3:21","00:00","00:00","00:31","00:00","8627.11","417.77","3.53","0.37","0.21","0.11","38%","20%","26.08","7928.46","0.00","1022.63","0","0","0","0","0","1342.58","0","0","0","0","0","173.32","00:00","0","0.05","7","0.35","14%","36%","0%","16%","3%","0","0","0%","0","0%","0","0","0","0","0","0","4","0","0","0","0","0"
"Krowleone","19","68.4%","11.32","2.63","8.63","1.63","81%","8.84","9.37","0.11","00:55","4%","0.63","1.16","0.26","39794.37","1907.51","145367.63","72656.79","27788.58","22314.26","149394.05","16981.74","113868.37","5255.47","28299.42","0.00","829.84","12080.03","0.79","17146.89","0.00","0.00","63444.84","59658.00","45033.76","34454.21","4:01","00:00","00:00","00:05","00:00","19879.11","977.79","3.11","0.32","0.21","0.11","38%","20%","26.08","7928.46","3.16","2054.37","0","0","0","0","0","7295.68","0","0","0","0","0","728.42","00:00","0","0.00","3","0.63","20%","28%","0%","20%","0%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","2","0","0"
"DBSmiley","19","84.2%","9.47","1.00","8.47","1.21","91%","7.32","7.95","0.05","00:50","4%","0.63","0.26","0.00","20051.32","908.58","37547.63","46491.68","15002.54","8849.26","47790.84","12621.63","30558.05","1143.47","15595.05","79934.26","3754.58","63822.59","13045.11","3218.26","1165.74","0.68","31502.05","27638.63","22963.13","15066.74","6:58","00:08","00:08","00:09","00:00","8801.95","390.61","5.53","0.00","0.16","0.00","36%","17%","27.85","10378.70","0","737.42","0.00","0.26","0","0","0","1194.37","0","0","0","7.47","0","0","00:00","69.32","0.00","12","0.71","10%","13%","31%","33%","2%","0","0","0%","0","0%","0","0","0","1","0","0","1","0","0","0","0","0"
"MJDoom","19","84.2%","8.11","1.47","6.63","1.58","80%","5.43","6.16","0.16","1:17","5%","0.79","0.47","0.05","35207.63","1573.13","48422.11","140631.32","23146.85","22036.16","133723.74","14940.79","106023.84","3757.05","17442.53","0.00","1175.32","17811.06","50.47","25320.05","0.00","0.00","69668.26","61825.95","47612.14","39034.37","1:38","00:00","00:00","00:15","00:00","18824.95","863.34","2.63","0.00","0.16","0.00","36%","17%","27.85","10378.70","0","947.95","0.11","0.58","0","0","0","6919.95","0","0","0","17.47","0","0","00:00","594.37","0.00","7","0.50","18%","27%","0%","8%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","1","0","2","0","0"
"PinaColada","19","84.2%","9.16","3.53","5.63","1.26","85%","7.26","7.00","0.21","00:59","5%","0.63","0.21","0.00","44980.74","2002.78","109906.21","85897.58","35103.52","23540.84","98285.26","23621.42","60701.16","2654.58","44779.37","0.00","201.22","3479.96","58.11","4198.42","0.00","0.00","33526.32","29313.68","26041.36","18394.53","1:31","00:00","00:02","00:00","00:00","11370.11","506.47","7.11","0.00","0.16","0.00","36%","17%","27.85","10378.70","0","2668.11","0.05","0.05","0","0","0","5092.79","0","0","0","6.74","0","0","00:00","257.00","0.00","5","1.38","23%","13%","0%","7%","0%","0","0","0%","0","0%","0","0","0","2","0","0","0","0","0","0","0","0"
"FrankJukes","19","68.4%","12.11","3.89","8.21","1.32","88%","10.61","9.58","0.37","00:58","5%","0.68","0.42","0.00","58212.26","2830.86","55171.95","142126.16","48956.65","24982.16","104301.63","21453.47","64669.42","2900.00","31454.74","814.68","213.49","3741.74","345.00","3036.47","492.32","0.05","23041.00","19562.00","18462.79","12124.95","1:21","00:08","00:03","00:02","00:00","12328.84","592.34","3.63","0.11","0.21","0.11","38%","20%","26.08","7928.46","1.37","6046.11","0","0","0","0","0","3587.26","0","0","0","0","0","695.58","00:00","0","0.00","8","4.09","30%","11%","1%","7%","1%","0","0","0%","0","0%","0","0","0","2","0","0","14","0","0","61","0","0"
"LaMort","17","76.5%","11.59","1.00","10.59","1.12","92%","9.93","9.18","0.06","1:03","5%","0.35","0.29","0.12","16587.88","900.73","24064.41","27360.76","13871.83","8165.29","26824.41","9028.65","14956.65","211.29","8572.76","49310.94","2664.25","40171.75","7411.59","1136.53","58.00","1.06","20135.06","16501.41","15748.03","10028.88","2:44","00:12","00:09","00:16","00:00","6990.35","381.79","5.24","0.18","0.29","0.12","47%","20%","26.98","8020.28","2.59","166.94","0.12","0.06","0","0","0","387.76","0","0","0","3.94","0","67.53","00:00","58.12","0.00","10","1.14","9%","11%","28%","15%","3%","0","0","0%","0","0%","0","0","0","0","0","0","3","1","0","6","0","0"
"StoiC","17","76.5%","10.76","3.29","7.47","1.00","84%","8.93","9.18","0.12","00:48","4%","0.24","0.29","0.06","44676.35","2379.07","64585.94","109225.24","33366.20","22173.41","105202.65","27862.12","66291.59","1460.29","23149.76","0.00","172.06","2581.97","0.00","3208.41","0.00","0.00","26643.35","22998.94","18449.43","13126.47","2:15","00:01","00:01","00:00","00:00","12716.24","692.04","4.82","0.12","0.29","0.12","47%","20%","26.98","8020.28","0.29","1492.88","0.00","0.41","0","0","0","805.24","0","0","0","8.65","0","642.29","00:00","521.00","0.00","7","1.92","25%","15%","0%","11%","0%","0","0","0%","0","0%","0","0","0","0","0","0","16","0","0","0","0","0"
"Spectrum","17","41.2%","9.06","0.47","8.53","2.35","85%","5.66","5.82","0.00","1:41","9%","1.00","0.71","0.00","27507.35","1452.07","43359.41","57663.88","15235.73","19105.59","59410.65","13191.06","38773.06","1547.41","9578.12","219.47","830.68","8962.37","161.88","15008.41","219.47","0.00","63475.88","52728.59","34753.94","45956.18","4:26","00:00","00:00","00:13","00:00","9554.00","499.23","3.59","0.12","0.18","0.12","30%","14%","25.33","6339.64","2.41","1436.29","0","0","0","0","0","586.59","0","0","0","3.71","0","3296.76","00:00","189.65","0","5","0.49","16%","32%","0%","23%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Azmochad","17","76.5%","9.29","3.00","6.24","1.53","73%","6.96","7.24","0.12","1:12","6%","0.76","0.82","0.12","42238.65","2243.73","50726.94","117072.59","28557.65","22062.29","107094.29","8693.65","89096.53","2997.35","18020.76","0.00","991.74","12363.63","0.00","19071.53","0.00","0.00","43795.29","37424.06","26994.28","23849.29","1:25","00:00","00:00","00:05","00:00","16559.53","880.04","2.59","0.00","0.29","0.12","47%","20%","26.98","8020.28","1.47","526.41","0.06","0.76","0","0","0","2411.29","0","0","0","12.00","0","241.12","00:00","486.65","0.00","7","1.10","24%","25%","0%","7%","1%","0","0","0%","0","0%","0","0","0","87","0","0","2","0","0","4","0","0"
"Rain","17","76.5%","10.06","0.82","9.24","1.94","81%","7.37","7.41","0.06","1:16","6%","0.76","0.53","0.06","17643.00","948.96","24063.88","35854.71","11951.40","12999.88","35744.53","10910.18","21985.29","327.59","5820.53","1777.88","1087.05","13442.32","565.06","17504.65","113.24","0.00","60528.12","51977.94","37667.52","44308.24","1:25","00:00","00:04","00:18","00:00","6987.12","373.46","2.06","0.06","0.29","0.12","47%","20%","26.98","8020.28","0.82","271.29","0.06","0.18","0","0","0","410.06","0","0","0","10.06","0","378.65","00:00","102.82","0.00","8","0.30","10%","34%","1%","8%","2%","0","0","0%","0","0%","2","0","0","35","0","0","0","0","0","0","0","0"
"Jacoshlu","17","41.2%","9.41","3.65","5.65","1.88","89%","6.61","7.35","0.29","1:24","7%","0.59","0.59","0.12","50127.18","2695.28","48117.71","110697.47","31034.23","27985.47","80689.00","15593.71","54469.59","2778.47","24475.18","0.00","357.81","3352.89","0.00","6729.35","0.00","0.00","32627.12","26463.76","17331.23","21349.24","1:25","00:00","00:00","00:05","00:00","11146.65","581.13","4.47","0.00","0.18","0.12","30%","14%","25.33","6339.64","2.41","3862.59","0","0","0","0","0","1621.18","0","0","0","4.12","0","4676.35","00:00","328.41","0","9","1.88","30%","16%","0%","8%","0%","0","0","0%","0","0%","0","0","0","0","0","0","3","0","0","0","0","0"
"DrEvil12","17","41.2%","9.76","1.35","8.41","1.94","91%","7.00","7.24","0.12","1:18","6%","0.71","0.06","0.00","21758.35","1177.32","30450.88","47543.88","13766.38","12527.00","43844.47","7645.82","30830.53","1377.47","10833.53","42180.71","2468.49","29322.40","8351.76","3450.88","0.00","1.00","28283.71","22557.06","16225.20","17848.18","5:10","00:04","00:10","00:11","00:00","7862.35","417.16","4.82","0.06","0.18","0.12","30%","14%","25.33","6339.64","0.71","752.29","0","0","0","0","0","859.35","0","0","0","3.00","0","1631.65","00:00","416.18","0","7","0.85","13%","14%","20%","34%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Ace","17","76.5%","11.59","4.53","7.06","1.12","91%","9.73","9.53","0.35","00:45","4%","0.53","0.29","0.00","60363.88","3105.49","55765.24","136816.24","48553.09","30651.41","103670.94","22709.88","69314.18","1827.53","27086.47","0.00","215.36","3560.34","24.35","3799.59","0.00","0.00","24830.00","21793.82","20933.40","13611.94","1:48","00:05","00:00","00:02","00:00","11270.94","607.18","4.88","0.00","0.29","0.12","47%","20%","26.98","8020.28","0.47","1174.71","0.00","0.06","0","0","0","2467.24","0","0","0","2.12","0","416.35","00:00","1930.00","0.00","9","2.77","32%","15%","0%","9%","1%","0","0","0%","0","0%","0","0","0","5","0","0","3","0","0","4","0","0"
"Althyne","16","50%","7.63","1.31","6.31","1.25","85%","6.39","6.06","0.06","00:59","5%","0.81","0.56","0.00","22550.31","1064.84","42305.06","33290.25","17913.33","12581.38","31849.44","6246.75","21174.38","1388.69","19808.63","80469.44","3844.51","65192.78","15980.44","1974.88","577.69","1.19","31631.06","27554.63","24712.72","19693.94","10:28","00:07","00:03","00:16","00:00","6850.75","330.02","5.94","0.25","0.19","0.13","21%","12%","25.87","8100.86","0","0","0.00","0.69","0","0","0","3859.69","0","0","0","5.56","0","2323.25","00:00","0.00","0","6","0.80","13%","13%","34%","45%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","1","0","0","0","0"
