"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Yuji","19","94.7%","14.32","4.63","9.68","1.47","92%","11.37","10.89","0.42","1:03","5%","0.47","0.63","0.21","45938.89","2679.58","93166.47","65926.11","32087.86","23650.16","67771.58","24415.74","34566.95","1936.16","36875.47","0.00","248.47","2942.19","0.00","4458.47","0.00","0.00","27858.53","23292.79","18501.15","14791.42","2:16","00:00","00:00","00:01","00:00","9285.74","553.84","5.74","0.21","0.21","0.00","53%","24%","27.33","7883.02","1.68","4293.11","0.00","0.00","0","0","0","5728.11","0","0","0","2.05","0","1370.16","00:00","214.26","0.37","7","1.76","26%","15%","0%","13%","0%","0","0","0%","0","0%","0","0","0","0","0","0","45","0","0","2","0","0"
"Shoopufff","19","94.7%","14.21","5.00","9.21","1.74","91%","10.05","9.37","0.74","1:05","6%","0.53","1.00","0.00","55175.00","3176.97","43185.63","138860.63","37418.09","26165.89","93903.16","25713.89","58643.00","2035.37","31954.89","0.00","338.14","4445.13","0.79","6494.11","0.00","0.00","30441.32","25300.84","18395.75","17114.16","5:25","00:00","00:01","00:07","00:00","10585.37","622.97","4.95","0.11","0.21","0.00","53%","24%","27.33","7883.02","0.00","985.53","0.05","0.00","0","0","0","3526.00","0","0","0","3.89","0","1294.47","00:00","381.53","0.05","5","2.18","31%","16%","0%","32%","1%","0","0","0%","0","0%","0","0","0","0","0","0","8","0","0","0","0","0"
"Tae","19","94.7%","10.68","2.58","8.11","1.42","69%","7.19","8.05","0.32","00:53","5%","0.89","0.32","0.00","31719.26","1822.06","69761.32","109656.95","19570.27","17403.11","124183.32","19125.89","96725.00","2380.32","22558.05","0.00","635.43","6823.39","0.00","11824.63","0.00","0.00","38675.00","33973.89","22799.00","19980.47","3:09","00:06","00:00","00:07","00:00","17659.95","1046.07","3.05","0.11","0.21","0.00","53%","24%","27.33","7883.02","0.89","1170.89","0.00","0.21","0","0","0","4236.63","0","0","0","6.68","0","986.58","00:00","247.47","0.05","7","0.94","18%","20%","0%","14%","1%","0","0","0%","0","0%","0","0","0","0","0","0","3","0","0","0","0","0"
"Magn3tic","19","94.7%","15.00","2.53","12.47","1.37","96%","11.30","11.68","0.42","00:49","4%","0.84","1.21","0.37","26436.53","1564.71","30450.16","47471.84","19394.50","19801.68","40041.58","8129.21","28571.63","998.95","11542.84","255.05","1195.92","14763.24","83.79","20058.21","19.21","0.00","73161.58","67119.84","51521.57","52770.26","4:29","00:00","00:02","00:23","00:00","9092.37","534.96","4.37","0.47","0.21","0.00","53%","24%","27.33","7883.02","0.68","433.74","0.00","0.16","0","0","0","1646.11","0","0","0","6.68","0","534.00","00:00","38.42","0.00","5","0.38","16%","40%","0%","30%","2%","0","0","0%","0","0%","0","0","0","0","0","0","8","0","0","1","0","0"
"USMAPS","19","47.4%","9.11","3.95","4.95","1.26","97%","6.75","8.16","0.21","1:00","4%","0.53","0.74","0.05","57829.16","2641.54","15719.74","176822.58","44690.26","21546.95","85753.42","21719.32","47556.21","3042.05","43980.11","11.00","86.74","1270.34","64.79","1778.68","11.00","0.05","19431.11","15877.11","12518.43","10911.32","00:53","00:05","00:00","00:10","00:00","10129.84","469.44","7.16","0.00","0.05","0.16","21%","15%","27.04","9138.55","0.68","5359.16","0","0","0","0","0","4039.95","0.00","0.00","0.00","1.05","0","1093.42","00:00","0","0.21","4","3.87","28%","9%","0%","4%","1%","0","0","0%","0","0%","0","0","0","0","0","0","2","1","0","0","0","0"
"pacostaco","19","47.4%","8.26","2.63","5.63","2.37","88%","3.91","5.89","0.37","1:42","8%","0.89","0.63","0.00","59525.05","2722.11","131957.74","91147.11","27767.43","32803.68","103372.89","24747.53","61700.68","2037.68","41361.32","246.21","241.08","2629.33","160.00","5092.00","0.00","0.00","41162.68","34067.95","18801.83","24725.00","1:29","00:00","00:00","00:00","00:00","13249.00","608.35","4.79","0.05","0.05","0.16","21%","15%","27.04","9138.55","0.00","5903.00","0","0","0","0","0","4307.26","0.00","0.00","0.00","2.05","0","1230.84","00:00","0","0.26","6","1.47","29%","18%","0%","7%","0%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","13","0","0"
"Delilah","19","47.4%","8.63","0.68","7.89","2.26","90%","4.94","6.84","0.05","1:35","7%","1.05","0.32","0.00","15155.63","694.07","33830.68","33689.42","8147.86","9216.26","35604.47","6798.74","23494.26","801.53","15458.53","76668.37","3639.01","43451.91","14772.21","2457.68","572.42","1.26","35433.21","28987.05","17886.35","21987.32","1:53","00:05","00:07","00:06","00:00","7045.00","326.24","7.26","0.21","0.05","0.16","21%","15%","27.04","9138.55","0.95","1114.32","0","0","0","0","0","1145.53","0.00","0.00","0.00","1.89","0","488.95","00:00","0","0.26","4","0.44","7%","16%","34%","10%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Fence","18","94.4%","14.78","0.83","13.94","0.56","95%","14.36","12.83","0.06","00:26","2%","0.17","0.11","0.06","15970.44","917.78","21141.39","23295.06","14706.92","6976.83","19329.28","6379.22","10415.06","839.17","8193.78","68885.33","4073.21","67328.17","7847.78","2657.39","337.44","2.22","15439.00","13579.83","13996.08","7219.06","1:19","00:22","00:01","00:18","00:00","5779.50","341.88","5.72","0.11","0.22","0.00","53%","24%","27.29","7903.04","2.56","375.22","0.00","0.00","0","0","0","1042.83","0","0","0","1.56","0","429.11","00:00","135.17","0.33","3","1.11","9%","8%","38%","9%","4%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Korosive","17","52.9%","9.12","0.76","8.29","1.82","94%","5.82","7.29","0.00","1:34","7%","1.12","0.82","0.12","28941.82","1313.93","31008.65","59478.06","18198.13","21640.82","51374.59","8393.59","37039.94","1531.35","10416.76","633.88","1155.04","14395.27","177.88","24653.71","67.94","0.00","77919.88","68160.18","44645.12","59396.24","4:37","00:00","00:02","00:24","00:00","8499.24","384.97","3.12","0.00","0.06","0.12","23%","15%","27.34","9602.83","0.24","334.29","0","0","0","0","0","1426.35","0.00","0.00","0.00","2.76","0","545.76","00:00","0","0.12","4","0.39","14%","33%","0%","22%","2%","0","0","0%","0","0%","0","0","0","0","0","0","3","1","0","0","0","0"
"S3XPANDA99","17","52.9%","7.59","1.24","6.18","1.47","76%","5.86","6.24","0.12","00:52","4%","1.06","0.47","0.12","43103.00","1950.17","58990.41","138016.76","32689.54","25912.00","138492.24","13717.53","110818.00","1975.47","14483.24","161.47","882.26","13669.35","0.88","19074.76","151.29","0.00","57376.29","51521.88","36788.62","34550.24","2:01","00:00","00:01","00:21","00:00","19668.29","926.12","2.76","0.18","0.06","0.12","22%","15%","26.89","8859.60","0.00","2694.94","0","0","0","0","0","2104.18","0.00","0.00","0.00","7.29","0","989.59","00:00","0","0.00","7","0.89","20%","25%","0%","9%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
