"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"TRSGPanda","17","64.7%","11.53","0.82","10.65","1.18","91%","9.17","9.18","0.00","00:54","4%","0.29","0.29","0.00","14061.76","724.20","20359.29","20836.47","10466.54","5911.53","18856.00","3683.18","9826.41","2124.47","7883.65","78323.00","4331.31","64995.22","10421.00","4474.06","4069.53","1.53","25553.24","21924.65","17657.95","12600.65","2:26","00:13","00:16","00:18","00:00","4841.71","253.92","4.00","0.12","0.24","0.06","40%","19%","28.15","10521.82","0.24","0","0.00","0.24","0","0","0","268.18","0.00","0.00","0.00","2.29","0","242.71","00:00","287.18","0","5","0.62","8%","11%","35%","13%","4%","0","0","0%","0","0%","8","0","0","0","0","0","0","0","0","0","0","0"
"Azn","24","70.8%","11.88","1.46","10.42","1.04","91%","9.41","9.67","0.13","00:49","4%","0.46","0.17","0.00","22604.92","1134.26","39086.96","31672.00","18397.51","12513.96","33688.92","12514.13","16267.08","557.50","15174.46","81926.46","4224.30","68270.37","16193.50","935.54","450.75","1.88","24323.21","20904.33","19258.58","14145.54","1:27","00:06","00:23","00:07","00:00","7149.67","358.74","6.38","0.17","0.33","0.04","29%","18%","27.38","8894.19","0.29","166.33","0.00","0.25","0","0","0","261.83","0","0","0","5.04","0","747.46","00:00","3.92","0.13","7","0.97","11%","11%","36%","7%","3%","0","0","0%","0","0%","0","0","0","1","0","0","5","2","0","0","0","0"
"Rackham","19","57.9%","12.11","1.32","10.74","2.63","94%","5.52","7.63","0.26","1:53","9%","1.58","0.47","0.00","20412.74","1044.58","18634.11","28641.00","9790.42","11337.05","15457.37","3805.00","9284.58","265.26","11063.11","79088.47","4164.47","38210.64","15032.53","2213.63","83.58","1.95","32303.63","23785.37","14412.16","20358.95","2:17","00:09","00:25","00:06","00:00","5641.42","288.19","6.11","0.00","0.26","0.16","32%","17%","27.27","9169.85","1.05","946.89","0","0","0","0","0","964.00","0","0","0","0.00","0","0.00","00:00","480.58","0.00","4","0.66","10%","14%","35%","12%","4%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"lubbidium","16","68.8%","11.56","1.63","9.94","1.44","94%","9.26","8.75","0.13","00:55","4%","0.94","0.38","0.06","20084.25","1017.03","37854.69","24941.38","15163.05","11253.13","28450.63","5260.19","16757.19","945.38","11987.13","82149.31","4088.48","62172.72","14226.50","1260.56","563.81","1.94","28321.75","24285.25","19924.40","17519.19","7:53","00:00","00:20","00:03","00:00","7293.56","368.52","6.13","0.00","0.19","0.13","31%","18%","26.12","7918.94","0.94","601.44","0.00","0.13","0","0","0","0","0.00","0.00","0.00","5.50","0","0.00","00:00","714.06","0","5","0.78","9%","12%","34%","43%","2%","0","0","0%","0","0%","2","0","0","0","0","0","9","1","0","1","0","0"
"AbsoluteYota","11","45.5%","13.36","0.64","12.73","1.73","82%","11.45","10.82","0.09","1:24","7%","0.73","0.27","0.00","10946.27","562.31","15709.64","25601.82","8043.73","5600.09","21756.09","6503.09","13285.27","509.00","8655.36","65576.64","4024.78","61452.78","7689.45","9250.73","6378.27","1.18","29216.27","23951.45","19209.91","16388.64","1:40","00:14","00:03","00:45","00:00","6261.55","311.76","4.64","0.00","0.36","0.18","32%","21%","25.37","6633.27","0.00","715.09","0","0","0","0","0","1976.27","0","0","0","1.64","0","0","00:00","0","0","3","0.50","6%","12%","31%","8%","5%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"s3v3n","19","63.2%","10.84","0.89","9.95","1.53","85%","7.90","6.95","0.21","1:03","5%","0.95","0.37","0.00","18668.89","897.25","28106.21","23680.21","13672.28","9697.89","21095.58","5607.47","12148.32","741.05","11307.47","83839.79","3995.94","61708.69","13486.42","1727.68","0.00","2.37","25097.58","20623.84","16911.94","14530.37","5:14","00:10","00:12","00:17","00:00","5934.63","283.84","4.74","0.21","0.21","0.00","37%","17%","28.37","10646.43","0","1413.74","0.05","0.16","0","0","0","1231.11","0.00","0.00","0.00","1.58","0","151.74","00:00","150.21","0","5","0.81","9%","10%","32%","25%","3%","0","0","0%","0","0%","85","0","0","0","0","0","2","0","0","0","0","0"
"Zagi","3","33.3%","5.33","0.00","5.33","1.67","81%","4.83","5.00","0.00","1:21","6%","1.33","0.67","0.00","16292.00","711.17","40011.33","16526.00","11535.50","7586.33","26262.00","1581.00","14310.33","1098.00","7511.33","102918.00","3898.43","84938.17","15444.67","1189.00","0.00","1.33","36072.33","30623.00","27977.17","18282.67","2:03","00:00","00:24","00:00","00:00","4741.67","178.71","3.67","0.00","0.00","0.33","4%","9%","25.55","10221.07","0","0","0","0","0","0","0","193.33","0","0","0","21.67","0","0","00:00","1485.67","0","2","0.50","7%","13%","34%","11%","2%","0","0","0%","0","0%","1","0","0","0","0","0","2","0","0","0","0","0"
"Led","25","64%","11.12","1.08","10.00","1.32","84%","8.58","9.20","0.00","1:02","5%","0.48","0.20","0.04","16912.16","941.41","30030.80","36629.12","12304.03","9858.12","35799.00","7187.52","24584.52","756.44","13211.24","69125.16","3889.04","52773.76","13584.08","1062.92","776.68","1.28","28458.12","24128.12","19773.89","17419.72","2:26","00:13","00:16","00:21","00:00","7547.08","418.65","4.52","0.36","0.04","0.12","42%","17%","27.60","8505.77","1.16","995.48","0.00","0.16","0","0","0","577.40","0","0","0","7.12","0","534.44","00:00","0.00","0.16","5","0.67","9%","13%","31%","14%","5%","0","0","0%","0","0%","0","0","0","8","0","0","32","0","0","11","0","0"
"DaveyJr","12","83.3%","11.17","1.08","10.08","1.75","82%","7.49","8.83","0.17","1:11","6%","0.92","0.17","0.00","19157.92","1001.73","22573.50","39445.00","12786.26","10934.83","29827.17","6782.67","18906.25","614.67","12493.00","73900.58","3885.27","49263.56","18255.00","0.00","0.00","1.25","27822.08","23098.33","17295.30","16640.17","1:44","00:12","00:24","00:07","00:00","6828.17","351.55","5.25","0.33","0.17","0.17","36%","20%","27.40","8920.34","0.33","1230.75","0.00","0.08","0","0","0","2830.42","0.00","0.00","0.00","1.58","0","117.33","00:00","0","0","3","0.71","11%","11%","30%","9%","4%","0","0","0%","0","0%","0","0","0","0","0","0","15","0","0","0","0","0"
"FatAndSassy","3","33.3%","10.67","1.00","9.67","1.00","82%","10.00","10.33","0.00","00:29","3%","0.33","0.00","0.00","25685.00","1565.72","26549.67","47166.00","24600.67","12060.67","30890.33","6767.67","17004.00","754.67","11519.33","76083.33","3747.91","71075.33","14939.00","2855.67","0.00","1.67","27867.33","25755.67","24896.83","18052.33","00:02","00:00","00:00","00:00","00:00","6252.33","328.71","4.67","0.00","0.33","0.00","25%","15%","24.62","5843.75","0","0","0","0","0","0","0","4825.00","0","0","0","7.67","0","0","00:00","2198.00","0","2","1.64","17%","13%","33%","0%","0%","0","0","0%","0","0%","3","0","0","0","0","0","1","0","0","0","0","0"
"Shiggity","16","31.3%","9.38","1.00","8.38","1.69","89%","7.16","6.88","0.06","1:04","6%","1.06","0.31","0.06","12150.25","620.15","21151.31","28875.88","8829.87","6056.44","26776.69","3215.38","20163.50","796.44","10531.38","74990.56","3701.57","53055.85","12875.81","340.25","1319.44","1.63","27674.19","23314.50","17850.36","15840.31","00:21","00:08","00:12","00:06","00:00","6785.94","341.65","3.81","0.00","0.19","0.19","16%","14%","24.78","6574.56","0.94","791.13","0.00","0.31","0","0","0","1590.25","0","0","0","0","0","163.56","00:00","0","0","5","0.53","7%","12%","33%","2%","2%","0","0","0%","0","0%","1","0","0","0","0","0","3","0","0","0","0","0"
"Slickrub","20","55%","9.70","1.25","8.45","1.45","88%","7.30","7.75","0.05","1:04","5%","0.65","0.05","0.00","20092.30","1077.50","29451.35","24308.60","14704.82","10489.60","20909.05","5625.95","10521.35","1543.05","11192.40","69688.65","3672.41","52100.91","11743.45","0.00","48.95","2.10","24819.60","20519.10","17150.64","12679.55","5:22","00:11","00:22","00:04","00:00","4908.30","255.61","4.95","0.15","0.05","0.25","29%","17%","26.58","7853.29","0","298.50","0","0","0","0","0","2371.20","0.00","0.00","0.00","0.85","0","773.60","00:00","697.55","0","4","0.91","12%","12%","33%","30%","3%","0","0","0%","0","0%","26","0","0","1","0","0","53","0","0","9","0","0"
