"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"KowboyKyle","25","64%","9.68","2.12","7.48","2.48","75%","5.35","6.80","0.40","1:34","8%","1.56","1.44","0.16","41315.84","2255.70","69361.92","96361.84","21544.32","28913.40","107837.52","12478.44","84974.20","2921.32","15846.60","0.00","1143.23","11178.94","1.20","20028.76","0.00","0.00","64270.76","58708.64","34446.49","40318.00","2:08","00:01","00:01","00:06","00:00","14958.76","841.78","2.28","0.08","0.04","0.12","42%","17%","27.60","8505.77","0.68","261.92","0.00","0.56","0","0","0","3501.84","0","0","0","12.72","0","1094.20","00:00","147.32","0.00","6","0.63","22%","29%","0%","12%","1%","0","0","0%","0","0%","0","0","0","0","0","0","6","0","0","0","0","0"
"ankleshot","25","64%","11.00","3.32","7.60","1.44","87%","7.92","9.00","0.40","1:01","5%","0.68","0.40","0.08","50127.80","2745.66","29949.80","125862.72","35224.75","23941.08","82285.88","18539.96","53564.12","1974.40","22727.04","0.00","129.80","1171.13","0.60","2535.84","0.00","0.00","22566.44","18782.48","14200.96","12377.76","00:51","00:00","00:00","00:07","00:00","10231.16","563.37","3.64","0.24","0.04","0.12","42%","17%","27.60","8505.77","1.12","1397.92","0.04","0.08","0","0","0","1275.32","0","0","0","4.20","0","1091.48","00:00","0.00","0.00","6","2.56","27%","10%","0%","5%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","1","0","0"
"Led","25","64%","11.12","1.08","10.00","1.32","84%","8.58","9.20","0.00","1:02","5%","0.48","0.20","0.04","16912.16","941.41","30030.80","36629.12","12304.03","9858.12","35799.00","7187.52","24584.52","756.44","13211.24","69125.16","3889.04","52773.76","13584.08","1062.92","776.68","1.28","28458.12","24128.12","19773.89","17419.72","2:26","00:13","00:16","00:21","00:00","7547.08","418.65","4.52","0.36","0.04","0.12","42%","17%","27.60","8505.77","1.16","995.48","0.00","0.16","0","0","0","577.40","0","0","0","7.12","0","534.44","00:00","0.00","0.16","5","0.67","9%","13%","31%","14%","5%","0","0","0%","0","0%","0","0","0","8","0","0","32","0","0","11","0","0"
"DWhitt","25","64%","11.52","1.52","9.88","2.52","91%","7.04","7.84","0.08","1:24","7%","1.40","0.68","0.28","28998.36","1599.08","27534.16","53346.76","17049.66","21463.96","43213.32","7795.04","31367.80","716.64","8963.76","3947.56","1275.54","11764.56","674.28","17650.36","1951.28","0.00","76923.04","64962.64","45388.75","56430.68","1:16","00:00","00:05","00:21","00:00","8327.72","458.88","2.68","0.28","0.04","0.12","42%","17%","27.60","8505.77","0.36","421.20","0.00","0.16","0","0","0","422.08","0","0","0","15.16","0","589.32","00:00","0.00","0.00","6","0.38","16%","35%","2%","7%","2%","0","0","0%","0","0%","0","0","0","4","0","0","39","1","0","0","0","0"
"befresch","25","64%","10.64","3.84","6.68","2.48","86%","6.27","7.04","0.56","1:45","9%","1.12","0.56","0.12","47143.36","2552.58","80963.32","85252.12","24704.53","28275.24","80362.64","24515.00","47226.12","1781.40","32306.76","0.00","237.41","2589.06","0.00","4324.60","0.00","0.00","30487.28","23241.32","15521.26","18923.56","00:54","00:00","00:03","00:01","00:00","10412.44","584.46","4.68","0.04","0.04","0.12","42%","17%","27.60","8505.77","0.52","779.36","0.24","0.00","0","0","0","1106.92","0","0","0","3.24","0","909.48","00:00","0.00","0.24","7","1.67","25%","13%","0%","6%","0%","0","0","0%","0","0%","2","0","0","0","0","0","12","0","0","2","0","0"
"Krushinator","25","44%","7.88","2.28","5.52","1.72","88%","5.25","6.08","0.24","1:08","6%","1.04","0.56","0.04","53123.72","2833.35","55062.08","130071.72","33964.82","29509.28","98782.16","17045.08","65038.52","2416.00","25804.20","0.00","318.10","3950.91","42.56","5959.60","0.00","0.00","25908.92","21524.32","15596.19","16795.32","00:40","00:00","00:02","00:01","00:00","11009.72","590.39","4.36","0.00","0.08","0.16","22%","13%","25.10","6042.53","0.60","428.12","0.00","0.24","0","0","0","3605.00","0","0","0","2.88","0","252.80","00:00","0.00","0.00","7","2.29","29%","13%","0%","4%","0%","0","0","0%","0","0%","0","0","0","0","0","0","119","0","0","0","0","0"
"TheDwarf","25","44%","7.88","1.12","6.68","2.32","87%","4.34","5.60","0.16","1:30","8%","1.12","0.64","0.20","24510.76","1331.66","24775.72","54509.60","12789.05","19138.56","46986.20","5605.44","35680.88","1509.92","6727.16","790.84","1102.61","10750.29","233.32","19401.12","22.88","0.08","66654.20","54881.56","34071.48","52990.24","2:54","00:00","00:01","00:20","00:00","8050.76","426.07","2.88","0.28","0.08","0.16","22%","13%","25.10","6042.53","0.20","131.52","0.00","0.56","0","0","0","1535.80","0","0","0","6.92","0","89.12","00:00","0.00","0.00","5","0.37","14%","34%","0%","15%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Ulysses","25","44%","6.36","1.92","4.40","1.64","76%","4.84","5.32","0.20","1:08","6%","0.96","0.64","0.12","39006.32","2070.33","74902.28","128537.88","28342.43","22315.64","139538.60","12747.08","112391.72","3088.28","21952.52","0.00","888.97","11925.25","1.20","16626.52","0.00","0.00","49187.16","43291.52","36146.48","25990.64","2:08","00:00","00:00","00:05","00:00","18831.52","1019.75","2.92","0.24","0.08","0.16","22%","13%","25.10","6042.53","1.64","417.00","0.08","0.68","0","0","0","3010.40","0","0","0","9.40","0","618.96","00:00","38.12","0.00","4","0.80","22%","24%","0%","11%","1%","0","0","0%","0","0%","0","0","0","14","1","0","1","0","0","0","0","0"
"chelsi","25","52%","10.12","2.32","7.60","1.68","90%","7.10","7.44","0.28","1:12","6%","0.84","0.20","0.00","58479.80","2878.32","49850.92","120253.12","42748.35","34318.52","91704.48","13140.68","65310.80","1767.88","18317.48","2598.84","1124.91","17460.12","34.68","19588.52","1842.36","0.00","50322.56","44435.24","35670.18","32831.48","2:18","00:14","00:00","00:11","00:00","12722.72","640.91","3.64","0.12","0.16","0.04","24%","17%","26.08","7479.29","0.48","1830.28","0.04","0.12","0","0","0","2368.80","0.00","0.00","0.00","0","0","3447.52","00:00","0","0.04","10","1.34","27%","20%","1%","11%","2%","0","0","0%","0","0%","7","0","0","3","0","0","1","0","0","10","0","0"
"Inti","25","52%","9.84","1.84","7.96","3.04","87%","4.79","5.92","0.16","2:00","10%","1.92","0.48","0.08","35212.76","1755.39","40387.72","75309.84","15412.31","24751.20","63247.56","10184.88","43429.36","1505.80","16772.60","16.68","1097.25","7551.94","8.24","22131.20","16.68","0.00","76906.32","62658.40","28914.78","59764.20","2:01","00:00","00:01","00:25","00:00","9478.76","471.04","3.48","0.40","0.16","0.04","24%","17%","26.08","7479.29","0.48","505.28","0.00","0.44","0","0","0","1163.48","0.00","0.00","0.00","0","0","2206.36","00:00","0","0.00","8","0.64","17%","30%","0%","10%","2%","0","0","0%","0","0%","0","0","0","7","0","0","4","0","0","2","0","0"
