"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"brainer","20","55%","10.15","1.45","8.70","2.40","92%","5.33","7.40","0.35","1:26","7%","1.40","1.25","0.30","31663.25","1721.48","25228.05","68462.35","15076.77","23731.30","53271.25","11099.15","35386.65","1592.40","7251.45","1708.45","1306.91","11519.16","430.25","24262.25","26.10","0.10","81846.95","70345.65","37892.91","59669.20","3:57","00:00","00:01","00:23","00:00","7917.35","427.90","1.95","0.15","0.05","0.25","29%","17%","26.58","7853.29","0","435.50","0","0","0","0","0","2139.65","0.00","0.00","0.00","8.00","0","2462.25","00:00","999.00","0","7","0.41","19%","39%","1%","22%","2%","0","0","0%","0","0%","30","0","0","2","0","0","12","0","0","1","0","0"
"Marod","20","55%","9.85","2.85","7.00","1.20","89%","7.49","8.05","0.25","00:50","4%","0.50","0.25","0.00","45020.75","2384.57","40479.85","132939.40","36390.76","16436.90","99057.45","17218.00","66506.30","3474.60","20620.25","20.90","183.40","2561.74","35.10","3139.30","20.90","0.00","22276.85","18901.95","16631.38","11078.85","1:55","00:01","00:02","00:05","00:00","10740.95","577.97","3.70","0.00","0.05","0.25","29%","17%","26.58","7853.29","0","219.65","0","0","0","0","0","5166.35","0.00","0.00","0.00","0.30","0","2342.30","00:00","2402.80","0","8","2.36","27%","11%","0%","10%","1%","0","0","0%","0","0%","9","0","0","1","0","0","1","0","0","0","0","0"
"Wolfe","20","55%","10.05","3.10","6.90","2.10","91%","6.57","6.90","0.30","1:26","7%","0.85","0.75","0.00","40319.35","2163.86","65786.25","75722.85","23991.23","22566.55","69903.65","20391.05","40216.65","2075.65","26636.65","10.40","123.92","1233.38","142.65","2158.05","10.40","0.00","29659.20","23270.80","17227.34","17050.95","00:53","00:00","00:02","00:02","00:00","8784.45","474.31","4.80","0.00","0.05","0.25","29%","17%","26.58","7853.29","0","945.00","0","0","0","0","0","5626.05","0.00","0.00","0.00","2.15","0","664.00","00:00","1686.80","0","6","1.46","24%","14%","0%","5%","0%","0","0","0%","0","0%","0","0","0","2","0","0","1","0","0","0","0","0"
"Slickrub","20","55%","9.70","1.25","8.45","1.45","88%","7.30","7.75","0.05","1:04","5%","0.65","0.05","0.00","20092.30","1077.50","29451.35","24308.60","14704.82","10489.60","20909.05","5625.95","10521.35","1543.05","11192.40","69688.65","3672.41","52100.91","11743.45","0.00","48.95","2.10","24819.60","20519.10","17150.64","12679.55","5:22","00:11","00:22","00:04","00:00","4908.30","255.61","4.95","0.15","0.05","0.25","29%","17%","26.58","7853.29","0","298.50","0","0","0","0","0","2371.20","0.00","0.00","0.00","0.85","0","773.60","00:00","697.55","0","4","0.91","12%","12%","33%","30%","3%","0","0","0%","0","0%","26","0","0","1","0","0","53","0","0","9","0","0"
"themayneski","20","55%","7.85","2.05","5.75","2.15","71%","4.71","5.70","0.20","1:28","7%","1.15","0.80","0.10","30010.25","1600.17","64805.20","131882.25","15421.32","18616.15","131814.45","20235.40","95378.55","2217.85","32125.30","4309.65","792.50","10239.37","1232.20","12074.05","0.00","0.10","52250.80","43641.30","27294.66","29598.75","00:38","00:00","00:00","00:07","00:00","15967.30","877.50","3.00","0.10","0.05","0.25","29%","17%","26.58","7853.29","0","1204.10","0","0","0","0","0","11437.80","0.00","0.00","0.00","4.05","0","989.60","00:00","502.90","0","5","0.59","18%","25%","1%","4%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"SpecialChai","20","50%","8.85","1.50","7.20","2.90","87%","4.76","6.45","0.40","1:42","9%","1.85","0.50","0.00","27765.65","1559.38","20247.10","70312.55","14271.72","20682.90","56157.25","6293.20","43654.35","839.70","6710.95","2434.60","1254.23","11130.52","996.40","20608.65","38.10","0.00","71489.40","58291.15","33572.35","53870.90","2:07","00:01","00:03","00:28","00:00","9358.60","523.35","2.20","0.25","0.10","0.05","31%","15%","25.86","6534.76","0.00","40.45","0.00","0.05","0","0","0","1001.85","0.00","0.00","0.00","0","0","5219.80","00:00","132.50","0.00","10","0.42","17%","34%","1%","12%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"TRSGSilver","19","68.4%","11.53","1.37","10.11","1.89","84%","8.65","9.16","0.16","1:15","6%","1.05","0.95","0.16","29588.37","1535.58","30775.26","66196.00","18913.24","21676.47","56865.53","8436.47","39079.11","2181.47","9680.74","0.00","1166.65","14108.60","3.63","23189.74","0.00","0.00","80157.79","70517.89","47933.94","56253.68","3:24","00:03","00:00","00:32","00:00","9141.79","461.97","3.05","0.16","0.26","0.05","41%","19%","28.18","10416.21","0.00","0","0.00","0.37","0","0","0","1146.53","0.00","0.00","0.00","16.16","0","493.00","00:00","1023.79","0","5","0.38","17%","35%","0%","19%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","5","0","0"
"TRSGRobear","19","68.4%","10.89","2.58","8.32","1.11","87%","8.64","9.53","0.16","00:37","3%","0.53","0.53","0.05","36402.05","1841.16","62677.32","103266.16","26477.89","20094.63","106066.58","18284.53","73920.21","4141.53","20138.42","0.00","383.54","4598.54","1.58","7917.32","0.00","0.00","41315.68","39036.63","25869.92","24764.79","1:29","00:01","00:01","00:06","00:00","14291.05","742.27","4.11","0.05","0.26","0.05","41%","19%","28.18","10416.21","0.37","0","0.00","0.05","0","0","0","3283.42","0.00","0.00","0.00","14.26","0","850.42","00:00","774.32","0","9","1.26","20%","17%","0%","8%","1%","0","0","0%","0","0%","5","0","0","0","0","0","1","0","0","3","0","0"
"TRSGkingle","19","68.4%","11.53","3.47","8.00","1.95","91%","8.24","8.95","0.53","1:25","7%","0.95","0.74","0.00","52174.79","2590.14","67482.16","129967.95","29911.19","31145.26","113241.79","18745.00","79700.53","4180.47","31471.63","0.00","1237.75","15572.70","3.16","26134.84","0.00","0.00","60870.63","54283.95","35758.28","35640.89","1:40","00:01","00:00","00:07","00:00","14917.53","760.78","4.53","0.42","0.26","0.05","41%","19%","28.18","10416.21","0.00","0","0.21","0.53","0","0","0","3250.53","0.00","0.00","0.00","12.95","0","1612.00","00:00","579.16","0","9","0.93","28%","26%","0%","8%","1%","0","0","0%","0","0%","14","1","0","0","0","0","3","0","0","0","0","0"
"PoliteGamer","19","57.9%","12.16","1.58","10.53","3.16","93%","5.48","7.00","0.26","2:19","11%","1.74","1.21","0.37","32003.74","1660.28","32295.32","62615.00","13010.29","23630.42","45611.42","12307.89","28492.26","528.37","16348.42","75.11","909.98","7874.65","125.63","17495.79","75.11","0.00","76418.95","62360.32","31724.69","56741.89","5:54","00:00","00:08","00:27","00:00","8940.42","458.74","5.53","0.11","0.26","0.16","32%","17%","27.27","9169.85","0.00","912.68","0","0","0","0","0","1284.89","0","0","0","3.74","0","0.00","00:00","645.00","0.11","5","0.43","16%","34%","0%","33%","3%","0","0","0%","0","0%","0","0","0","0","0","0","44","0","0","0","0","0"
