"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Istaridor","16","75%","11.44","1.38","10.06","1.69","95%","7.67","7.94","0.25","1:07","6%","0.69","0.25","0.00","18256.94","932.12","37225.06","18801.56","10338.81","8367.19","20724.75","6710.38","8717.06","576.50","17246.81","88921.13","4821.85","56085.24","13457.00","2580.38","1650.56","2.00","26082.06","20724.69","14138.83","14669.31","4:28","00:09","00:22","00:11","00:00","5930.44","311.28","6.69","0.25","0.06","0.19","30%","17%","27.10","8388.61","1.00","1343.88","0","0","0","0","0","1613.75","0.00","0.00","0.00","0","0","208.31","00:00","67.69","0.56","5","0.77","10%","11%","41%","23%","4%","0","0","0%","0","0%","0","0","0","0","0","0","5","0","0","0","0","0"
"XxLuNaTiCxX","15","66.7%","8.53","0.73","7.67","1.20","99%","6.91","6.20","0.13","00:49","5%","0.60","0.33","0.00","17284.33","970.09","27897.27","25640.73","14806.48","10435.33","23729.80","6050.67","12727.80","1804.80","12807.33","76932.40","4482.11","71095.06","13579.27","3857.13","2541.80","1.27","25859.00","22220.80","21004.38","16589.00","7:33","00:07","00:18","00:14","00:00","5668.00","311.26","6.00","0.00","0.00","0.07","27%","14%","27.22","8056.84","0.87","471.80","0","0","0","0","0","2649.20","0.00","0.00","0.00","0.47","0","0","00:00","0","0.53","7","0.73","11%","12%","37%","39%","4%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","5","0","0"
"CaptainGarbo","11","36.4%","8.91","1.00","7.91","2.09","97%","5.38","6.91","0.09","1:18","6%","0.73","0.45","0.09","18594.45","877.80","37507.09","21703.18","11583.35","9621.18","27962.73","6716.64","15356.91","1596.82","11296.45","88673.55","4051.40","51734.41","13074.18","721.82","355.18","2.64","33141.82","27854.09","17591.80","16355.91","14:07","00:07","00:12","00:04","00:00","6702.91","299.08","6.18","0.27","0.00","0.18","27%","14%","26.78","9476.85","1.45","0","0.09","0.27","0","0","0","897.55","0","0","0","2.64","0","1796.73","00:00","676.36","0.00","4","0.62","10%","14%","36%","64%","2%","0","0","0%","0","0%","0","0","0","0","0","0","12","0","0","0","0","0"
"Zesty","9","88.9%","13.44","1.56","11.89","1.33","96%","9.69","9.67","0.33","00:58","4%","0.22","0.22","0.00","13207.44","639.56","26646.22","30310.56","8252.42","5641.22","26830.78","9030.44","12620.56","1278.89","16614.67","75233.56","3981.12","59070.03","10084.00","6046.67","1279.56","2.00","24245.67","19973.00","14412.48","13491.67","2:21","00:02","00:00","00:14","00:00","6857.22","339.45","7.89","0.00","0.22","0.00","40%","22%","28.24","10243.85","0","0","0.00","0.22","0","0","0","1229.78","0.00","0.00","0.00","0","0","392.89","00:00","0.00","0.00","6","0.61","7%","10%","34%","12%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"BeardedBaron","17","23.5%","6.76","1.06","5.71","0.76","87%","5.97","6.06","0.12","00:38","3%","0.35","0.12","0.06","16134.88","854.68","22220.35","28683.76","14103.79","8377.71","25399.41","3735.53","18272.82","1085.59","9675.82","70328.53","3851.85","66861.56","13653.76","2152.18","1078.41","1.94","21676.47","19181.53","18972.15","12259.94","1:51","00:13","00:19","00:15","00:00","5990.12","313.36","5.12","0.18","0.12","0.06","22%","11%","24.84","5676.27","0.94","99.18","0.00","0.12","0","0","0","1039.35","0","0","0","0.00","0","2066.00","00:00","0","0.00","6","0.76","10%","11%","35%","10%","4%","0","0","0%","0","0%","0","0","0","0","0","0","6","0","0","0","0","0"
"Yretenai","16","62.5%","10.69","2.06","8.63","1.94","96%","6.86","8.69","0.19","1:34","7%","1.19","0.25","0.00","24123.19","1208.72","27842.44","42750.69","13795.29","15976.56","35286.69","6078.63","23514.13","3108.69","11030.13","66290.31","3723.53","46931.24","15694.69","3689.81","478.31","1.50","31845.81","25764.31","19405.27","19775.25","1:50","00:00","00:07","00:04","00:00","7685.25","396.53","4.13","0.00","0.13","0.13","43%","17%","26.08","7645.81","1.50","692.31","0.00","0.25","0","0","0","1082.81","0","0","0","0","0","0","00:00","0","0.00","6","0.77","11%","14%","31%","9%","1%","0","0","0%","0","0%","0","0","0","0","0","0","14","0","0","0","0","0"
"uZerErROr","17","58.8%","9.35","0.59","8.76","1.12","93%","8.46","8.24","0.00","00:45","4%","0.65","0.35","0.00","17999.35","860.37","39091.29","36357.53","14797.93","10134.71","43673.06","6531.24","29829.06","2088.94","10664.82","70962.88","3710.88","65563.66","10652.47","1730.29","1086.00","1.59","25239.06","22139.18","20273.76","13851.88","00:38","00:08","00:12","00:05","00:00","8176.82","401.44","4.76","0.12","0.00","0.06","23%","17%","26.57","8346.86","0.94","0","0.00","0.29","0","0","0","2248.24","0","0","0","2.88","0","109.35","00:00","0","0.12","5","0.71","8%","11%","33%","3%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"HaZarD716","19","15.8%","7.37","0.68","6.68","2.53","82%","4.36","5.26","0.05","1:39","9%","1.32","0.84","0.21","15663.95","785.51","21539.42","18663.68","7870.90","9338.00","18365.68","1893.11","13111.32","547.21","6008.16","70495.58","3598.69","37940.63","11837.84","372.05","264.26","1.74","34346.79","27569.47","17351.37","21331.68","10:26","00:09","00:11","00:14","00:00","5044.26","250.58","3.21","0.00","0.05","0.05","13%","12%","23.56","4346.82","1.74","564.05","0.00","0.42","0","0","0","41.68","0.00","0.00","0.00","1.05","0","0","00:00","0","0.00","7","0.47","8%","14%","29%","53%","3%","0","0","0%","0","0%","0","0","0","0","0","0","16","0","1","0","0","0"
"Desdaa","20","65%","9.45","0.65","8.80","1.40","86%","7.41","6.85","0.00","00:56","5%","0.55","0.50","0.10","14124.65","736.46","24550.10","16904.35","10020.66","8722.25","16304.65","5284.25","7473.20","883.10","10683.75","60086.30","3548.91","49078.49","12570.10","3759.30","1731.70","0.85","26201.95","22321.20","19026.78","16760.95","1:52","00:06","00:09","00:10","00:00","5092.10","275.30","5.00","0.00","0.25","0.05","34%","15%","25.69","6301.27","0","732.10","0.00","0.05","0","0","0","822.85","0","0","0","1.50","0","0.00","00:00","64.10","0.20","5","0.52","8%","13%","31%","10%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"dthPUNISH3R","17","58.8%","12.29","1.76","10.47","1.76","96%","8.54","9.06","0.24","1:16","6%","0.76","0.35","0.06","20189.47","1067.22","34925.47","31381.82","14384.18","12018.71","28628.94","7839.47","14572.18","2242.41","15800.94","60500.76","3395.28","42911.36","11105.12","3065.24","213.18","1.18","29764.18","24308.29","17619.14","18126.71","3:45","00:03","00:17","00:08","00:00","6588.29","365.37","6.41","0.29","0.06","0.00","49%","20%","26.21","7132.19","0.59","1472.00","0.00","0.00","0","0","0","695.06","0.00","0.00","0.00","0","0","587.71","00:00","0","0.41","6","0.83","12%","15%","30%","17%","3%","0","0","0%","0","0%","2","0","0","15","0","0","4","2","0","0","0","0"
"LeeDragoon","16","31.3%","7.94","0.50","7.44","2.19","75%","5.44","5.50","0.00","1:29","7%","0.81","0.19","0.13","11062.25","564.11","28394.63","19833.94","7492.58","5473.00","22708.19","3244.31","14970.50","1428.38","12469.81","65289.38","3375.59","43288.62","10065.00","1198.38","918.50","0.75","24423.69","18129.06","14531.71","15244.56","1:39","00:12","00:13","00:16","00:00","4984.44","248.19","4.75","0.00","0.13","0.13","22%","14%","26.09","7783.62","0.00","144.94","0.00","0.13","0","0","0","1641.81","0","0","0","1.94","0","0","00:00","572.88","0.00","3","0.48","8%","12%","31%","8%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","2","0","0"
"Lulu","20","55%","8.45","0.95","7.50","1.70","88%","6.17","7.15","0.15","1:06","6%","0.85","0.40","0.00","11324.25","652.38","20449.55","19119.25","7840.96","6228.15","18315.05","4795.00","10378.50","711.70","9950.35","52830.05","3295.97","40455.47","8769.35","2889.50","2010.80","0.90","23875.65","18892.05","15179.43","15012.10","4:40","00:08","00:10","00:18","00:00","5190.85","296.29","5.55","0.00","0.10","0.10","39%","14%","25.77","6220.62","0.60","1654.10","0.00","0.25","0","0","0","420.50","0","0","0","0","0","0.00","00:00","320.55","0","6","0.52","7%","13%","29%","26%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","1","0","0","0","0"
"AuraLuna","19","47.4%","10.26","1.37","8.89","1.74","90%","7.27","7.53","0.00","1:12","6%","0.89","0.42","0.11","15580.95","790.38","21748.89","41775.79","10904.83","5832.42","36116.84","8327.89","22861.89","1666.00","10481.95","60210.32","3286.04","44457.65","8655.63","1662.79","3465.95","1.00","22470.89","17384.42","14092.36","13816.63","3:27","00:07","00:07","00:11","00:00","7024.32","351.38","5.21","0.16","0.26","0.11","23%","15%","25.48","6691.80","0.21","382.32","0.00","0.47","0","0","0","342.89","0","0","0","2.32","0","364.74","00:00","78.00","0.00","7","1364.40","8%","10%","28%","18%","2%","0","0","0%","0","0%","0","0","0","0","0","0","23","1","0","0","0","0"
"Starknight","18","100%","12.89","1.61","11.28","1.06","88%","11.01","10.17","0.00","00:45","4%","0.44","0.50","0.00","19721.00","1067.09","35671.33","38183.72","16599.96","10469.83","36109.00","13097.89","17946.78","1644.17","16049.44","60242.22","3285.09","51669.18","10182.94","588.00","656.56","1.44","25503.06","22111.22","20516.19","13228.50","5:31","00:19","00:26","00:21","00:00","7269.56","388.16","6.61","0.00","0.22","0.06","44%","23%","28.50","9923.44","1.67","1892.28","0.00","0.06","0","0","0","3579.94","0.00","0.00","0.00","0","0","1202.61","00:00","0","0","5","0.86","12%","14%","33%","29%","6%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"LifeDeeGee","16","56.3%","9.69","0.81","8.81","1.38","84%","8.36","7.81","0.06","00:56","5%","0.50","0.25","0.00","14215.19","751.87","21705.44","24013.63","11454.59","7687.69","22053.31","4704.75","14798.56","632.44","9602.00","56547.69","3147.17","47767.74","10292.69","3085.63","279.63","1.13","28848.06","24943.38","22433.60","16429.13","00:20","00:10","00:13","00:03","00:00","5968.50","308.72","4.56","0.00","0.06","0.19","37%","17%","26.34","7553.71","1.56","207.81","0","0","0","0","0","1514.94","0.00","0.00","0.00","3.00","0","0","00:00","0","0.31","4","0.57","8%","14%","29%","2%","2%","0","0","0%","0","0%","0","0","0","0","0","0","4","0","0","0","0","0"
"DeftJackal","1","0%","8.00","2.00","6.00","2.00","89%","4.00","6.00","0.00","1:26","6%","0.00","0.00","0.00","28360.00","1264.54","22383.00","38134.00","14180.00","19906.00","20546.00","4200.00","12909.00","2150.00","10158.00","67725.00","3019.79","33862.50","24283.00","0.00","0.00","2.00","40877.00","35614.00","20438.50","30489.00","1:47","00:00","00:00","00:16","00:00","9844.00","438.93","4.00","0.00","0.00","0.00","9%","10%","28.35","11237.94","0","6980.00","0","0","0","0","0","0","0","0","0","0","0","0","00:00","0","0","1","0.69","14%","15%","26%","8%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"ChairGlue","14","85.7%","10.21","1.43","8.71","0.93","89%","8.80","8.64","0.07","00:33","3%","0.36","0.21","0.00","16459.93","1007.38","31274.86","26601.71","14121.12","10089.64","27457.50","7683.71","16664.43","942.57","11496.86","47500.57","2973.08","42217.04","8080.86","3510.57","0.00","1.29","24528.79","22033.43","20268.15","14320.50","14:48","00:04","00:01","00:07","00:00","6457.00","404.09","4.29","0.14","0.14","0.00","51%","20%","26.58","6404.88","0.29","64.00","0.00","0.00","0","0","0","1097.29","0","0","0","5.29","0","183.43","00:00","71.29","0.50","8","0.75","11%","15%","27%","84%","1%","0","0","0%","0","0%","0","0","0","0","0","0","6","0","0","0","0","0"
"p3n3trator","18","44.4%","8.83","0.61","8.22","2.17","84%","5.78","5.89","0.00","1:33","8%","0.89","0.72","0.11","13406.72","651.07","22070.11","36646.72","8993.36","7201.33","31231.61","6654.72","20025.28","800.56","12784.50","58884.72","2946.70","38865.95","9018.72","1981.06","612.17","1.00","26375.39","19956.33","16120.32","15618.39","00:45","00:06","00:09","00:10","00:00","5925.50","287.20","4.78","0.06","0.11","0.22","17%","13%","26.35","8371.96","0","242.33","0.00","0.00","0","0","0","1312.11","0.00","0.00","0.00","0","0","0.00","00:00","0","0.33","8","0.59","8%","11%","24%","3%","2%","0","0","0%","0","0%","0","0","0","0","0","0","8","0","0","0","0","0"
"Varuun","10","0%","3.70","0.10","3.60","2.90","80%","2.13","2.80","0.00","1:31","11%","1.70","0.30","0.10","11189.40","761.76","10760.00","14713.60","5633.52","6844.30","10424.10","416.00","7913.10","373.20","3064.50","34738.60","2669.84","19673.87","5591.40","4190.10","1031.30","1.20","24728.30","16413.60","10586.55","18355.10","00:38","00:08","00:01","00:12","00:00","3594.30","244.69","1.80","0.00","0.00","0.20","0%","7%","22.45","2337.09","0.00","182.90","0.00","0.40","0","0","0","413.40","0.00","0.00","0.00","0","0","0","00:00","0","0.00","5","0.49","10%","16%","21%","4%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"blackstormer","13","53.8%","7.23","0.69","6.46","1.23","107%","6.58","6.15","0.00","00:46","4%","0.46","0.46","0.00","19755.92","1065.04","22115.54","55009.15","13877.04","11909.69","45963.62","4729.92","34087.00","2380.38","10318.92","39403.92","2643.62","42228.03","6308.85","7188.54","522.08","0.85","31188.46","26814.38","20382.99","19288.15","6:09","00:03","00:05","00:25","00:00","8374.92","456.76","3.77","0.00","0.00","0.08","17%","14%","25.18","5622.54","0.69","887.38","0.00","0.85","0","0","0","1284.46","0","0","0","7.77","0","0","00:00","0","0","8","0.78","13%","15%","22%","37%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaxtaxman","19","57.9%","12.21","0.68","11.53","0.79","96%","11.22","9.84","0.00","00:29","2%","0.37","0.16","0.00","16868.47","857.70","18832.58","30295.63","14873.09","6293.21","23856.58","6258.11","12589.58","860.47","7400.16","49734.05","2602.16","48308.93","7197.84","1338.42","505.16","1.63","17634.53","15456.05","16060.89","8985.21","2:09","00:12","00:00","00:26","00:00","6502.32","319.91","5.89","0.58","0.21","0.11","27%","19%","26.04","7861.40","2.89","993.47","0","0","0","0","0","307.11","0.00","0.00","0.00","0","0","692.21","00:00","132.89","0.00","4","1.04","10%","9%","27%","11%","3%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"memias","21","28.6%","8.14","1.29","6.81","2.86","85%","4.04","5.05","0.29","1:44","10%","1.14","0.24","0.05","29012.76","1536.94","35641.95","70852.90","13114.53","17091.38","58823.19","8708.81","40897.52","2523.71","18058.19","42878.19","2505.67","24464.76","8240.10","3514.29","324.95","1.19","32617.00","24688.10","14281.18","19121.62","3:02","00:07","00:04","00:14","00:00","8219.57","443.06","4.29","0.10","0.10","0.29","16%","11%","25.17","6139.39","0.57","2637.14","0","0","0","0","0","1070.95","0.00","0.00","0.00","2.62","0","3222.95","00:00","34.67","0.00","11","0.91","17%","16%","19%","17%","3%","0","0","0%","0","0%","0","0","0","1","0","0","7","0","0","3","0","0"
"Shadovera","16","37.5%","8.25","0.75","7.44","2.44","83%","4.66","5.31","0.06","1:39","8%","1.25","0.56","0.06","15403.56","748.78","20953.25","24966.00","7735.99","10126.38","19920.75","2669.38","12175.19","1634.81","10466.31","48387.19","2419.72","31393.11","8400.00","5040.88","0.00","1.19","43087.38","34017.31","21000.91","30357.13","7:53","00:00","00:15","00:08","00:00","5817.06","284.16","5.31","0.50","0.19","0.00","15%","13%","26.36","8451.10","0","235.13","0.00","0.31","0","0","0","263.00","0.00","0.00","0.00","6.06","0","1577.44","00:00","95.56","0","4","0.39","8%","20%","19%","31%","2%","0","0","0%","0","0%","0","0","0","1","0","0","0","0","0","0","0","0"
"Nyrah","16","62.5%","8.19","1.88","6.31","2.00","87%","5.14","5.56","0.38","1:21","7%","1.31","0.81","0.25","29237.56","1594.40","73189.44","58173.00","16782.30","16969.88","77249.44","15935.75","56580.56","1176.69","22519.94","33624.13","2093.02","19505.84","6962.50","6229.31","471.69","0.63","39895.38","34411.00","22509.39","23019.44","00:53","00:03","00:06","00:05","00:00","10946.56","601.56","5.13","0.00","0.06","0.13","40%","16%","25.26","6218.43","3.38","2165.31","0.00","0.06","0","0","0","2594.25","0","0","0","0","0","0","00:00","0","0.13","10","0.78","16%","18%","14%","5%","1%","0","0","0%","0","0%","0","0","0","0","0","0","22","2","0","16","0","0"
"Tantrum","15","46.7%","7.87","0.87","7.00","2.40","88%","4.79","5.80","0.07","1:48","9%","1.33","0.53","0.20","21262.93","1091.49","21524.80","58544.33","11422.26","15297.00","40624.93","8042.33","28016.07","239.07","18286.07","23349.80","1920.39","21348.05","5276.53","13470.87","1811.60","0.27","52418.40","42288.73","27058.25","38806.60","8:48","00:00","00:04","00:20","00:00","6348.53","330.73","4.07","0.33","0.00","0.27","30%","14%","26.59","7933.22","0.00","812.80","0.00","0.47","0","0","0","6009.73","0","0","0","6.27","0","0.00","00:00","0","0","7","0.43","12%","27%","12%","45%","2%","0","0","0%","0","0%","0","0","0","0","0","0","9","2","0","116","0","0"
"LadyRonin","17","41.2%","7.71","1.47","6.24","1.65","93%","6.04","6.29","0.18","1:11","6%","0.76","0.18","0.06","28296.94","1403.21","26127.76","70893.06","20923.20","12046.59","45526.71","9490.18","29389.88","1583.24","21579.65","35097.76","1861.58","26213.45","5573.47","536.59","422.12","0.71","21565.18","16784.94","14607.20","12604.47","2:06","00:07","00:13","00:04","00:00","7153.47","368.57","5.65","0.06","0.00","0.24","27%","13%","26.28","7597.25","1.06","1098.76","0.06","0.71","0","0","0","3466.53","0","0","0","1.82","0","160.06","00:00","0","0.00","7","1.45","16%","12%","19%","11%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"tater","17","76.5%","14.06","3.59","10.47","1.18","96%","11.11","11.47","0.35","00:50","4%","0.47","0.06","0.00","33440.94","1677.06","47266.24","77170.88","23827.90","18675.53","60280.18","18142.76","33894.94","2417.18","28850.06","31022.00","1852.54","26644.36","4952.88","4178.71","53.24","0.76","24143.41","20754.29","16330.32","13427.65","2:18","00:05","00:10","00:07","00:00","8938.00","450.56","7.06","0.06","0.24","0.00","43%","23%","27.83","9313.59","0.94","1259.65","0.12","0.00","0","0","0","2723.00","0.00","0.00","0.00","1.00","0","141.71","00:00","0.00","0.12","7","1.41","18%","11%","16%","13%","2%","0","0","0%","0","0%","0","0","0","0","0","0","6","0","0","2","0","0"
"Azriella","2","0%","5.00","0.00","5.00","4.00","89%","1.33","3.50","0.00","2:24","11%","2.00","0.00","0.00","11711.00","570.82","23008.00","37006.00","3401.50","7881.50","28929.00","2847.50","16950.00","2163.00","17348.00","34024.50","1829.72","11890.58","3971.00","2513.00","0.00","0.50","38470.50","26364.00","9063.75","26969.50","00:18","00:03","00:00","00:12","00:00","6028.50","295.08","5.50","0.00","0.00","0.00","9%","8%","23.97","5077.42","0","0","0","0","0","0","0","6566.00","0","0","0","0","0","0","00:00","0","0.00","2","0.39","7%","20%","19%","1%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Darkfin","21","28.6%","8.00","0.76","7.24","3.67","86%","3.68","5.43","0.10","2:15","12%","2.00","0.76","0.14","23021.38","1213.30","24951.05","41856.81","9614.47","17453.43","31537.38","7112.38","19349.81","1446.86","11946.29","18518.29","1802.63","15241.79","3143.05","14492.95","342.05","0.43","58848.90","44776.76","23628.34","46957.86","5:41","00:00","00:06","00:18","00:00","7192.86","386.42","3.86","0.33","0.10","0.29","16%","11%","25.17","6139.39","0.00","1031.62","0","0","0","0","0","1151.05","0.00","0.00","0.00","1.67","0","2462.86","00:00","162.43","0.05","11","0.40","13%","27%","9%","27%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
