"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Crynitix","23","52.2%","8.91","1.30","7.61","2.87","94%","5.01","6.04","0.22","1:57","10%","1.61","0.91","0.22","30478.70","1561.23","32577.13","61428.65","15574.48","22934.35","53183.74","10568.87","35758.57","2109.83","11191.30","380.30","1322.58","13020.09","169.00","25382.52","38.70","0.00","83444.22","69369.96","40726.31","65679.09","2:40","00:00","00:03","00:29","00:00","7892.70","406.85","3.57","0.00","0.09","0.17","35%","14%","26.03","7571.10","0.57","949.74","0.04","0.22","0","0","0","2233.39","0","0","0","0","0","0","00:00","0","0.04","6","0.37","15%","37%","0%","13%","3%","0","0","0%","0","0%","0","0","0","0","0","0","20","1","0","3","0","0"
"Nugs","22","50%","8.64","2.77","5.86","1.32","94%","6.33","7.14","0.41","00:52","4%","0.77","0.27","0.09","72077.00","3705.80","26954.82","177136.05","53646.03","21618.64","100926.36","14427.05","70853.32","4587.14","31049.50","0.00","52.22","757.52","18.82","1136.55","0.00","0.00","22889.27","19028.55","15970.02","12584.82","00:15","00:00","00:00","00:13","00:00","12433.91","629.43","5.00","0.00","0.09","0.18","34%","13%","26.21","7819.04","0.23","3080.23","0.05","0.14","0","0","0","6792.91","0","0","0","0","0","0","00:00","0","0.00","3","3.83","37%","10%","0%","1%","1%","0","0","0%","0","0%","0","0","0","0","0","0","20","0","0","0","0","0"
"Zephy","20","45%","5.80","1.20","4.60","2.30","64%","3.73","4.10","0.05","1:42","8%","1.40","0.50","0.00","30295.30","1513.84","51652.75","119586.30","18637.95","17180.80","125604.40","10853.85","106115.70","2228.10","16354.95","0.00","755.64","9131.95","0.00","14653.85","0.00","0.00","48146.25","38820.45","28838.92","25762.00","1:42","00:01","00:00","00:06","00:00","18475.20","984.49","2.20","0.00","0.05","0.20","32%","13%","26.41","8174.81","1.30","1117.10","0.15","0.45","0","0","0","1569.90","0","0","0","0","0","0","00:00","0","0.00","8","0.63","15%","21%","0%","9%","1%","0","0","0%","0","0%","0","0","0","0","0","0","41","0","0","0","0","0"
"Desdaa","20","65%","9.45","0.65","8.80","1.40","86%","7.41","6.85","0.00","00:56","5%","0.55","0.50","0.10","14124.65","736.46","24550.10","16904.35","10020.66","8722.25","16304.65","5284.25","7473.20","883.10","10683.75","60086.30","3548.91","49078.49","12570.10","3759.30","1731.70","0.85","26201.95","22321.20","19026.78","16760.95","1:52","00:06","00:09","00:10","00:00","5092.10","275.30","5.00","0.00","0.25","0.05","34%","15%","25.69","6301.27","0","732.10","0.00","0.05","0","0","0","822.85","0","0","0","1.50","0","0.00","00:00","64.10","0.20","5","0.52","8%","13%","31%","10%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Hirobi","20","65%","9.20","2.45","6.75","1.10","83%","8.53","8.25","0.15","00:45","4%","0.50","0.40","0.00","51509.95","2768.02","39658.40","142647.55","42932.93","30095.50","97699.40","18668.55","65391.60","2318.95","30435.30","0.00","266.19","4276.65","196.90","5112.35","0.00","0.00","25645.40","22312.40","20398.58","14280.25","2:17","00:10","00:05","00:04","00:00","10660.05","575.90","4.45","0.20","0.25","0.05","34%","15%","25.69","6301.27","0","3229.00","0.00","0.25","0","0","0","4763.75","0","0","0","3.50","0","0.00","00:00","658.75","0.25","9","2.21","31%","13%","0%","12%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","18","0","0"
"Emtinoh","20","65%","8.70","2.05","6.65","1.80","80%","6.35","6.85","0.40","1:09","6%","0.95","0.40","0.05","32252.20","1777.04","59539.15","106114.65","21958.77","20253.15","107430.45","13769.25","83185.55","1663.35","25411.90","1504.10","910.53","11990.57","421.95","15476.75","0.00","0.00","50195.40","43326.55","33296.49","29968.10","1:39","00:00","00:01","00:14","00:00","14760.50","841.12","2.80","0.05","0.25","0.05","34%","15%","25.69","6301.27","0","2083.60","0.15","0.45","0","0","0","3827.50","0","0","0","8.75","0","0.00","00:00","23.75","0.00","10","0.67","20%","26%","1%","8%","1%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","0","0","0","0"
"AlanHicks","20","65%","9.15","1.60","7.55","2.00","84%","5.71","6.50","0.25","1:18","7%","0.75","0.35","0.15","25834.75","1379.36","34677.40","84934.40","15752.59","19406.35","79339.90","12766.30","57536.35","1636.60","11523.35","334.85","1119.15","11797.21","238.35","20028.00","103.70","0.00","66481.35","58082.15","37390.43","50338.45","00:56","00:00","00:01","00:20","00:00","11961.55","633.65","2.70","0.10","0.25","0.05","34%","15%","25.69","6301.27","0","1407.60","0.10","0.20","0","0","0","1321.00","0","0","0","7.75","0","0.00","00:00","156.90","0.10","7","0.40","16%","33%","0%","5%","2%","0","0","0%","0","0%","0","0","0","2","0","0","2","0","0","0","0","0"
"SullHouse","19","78.9%","13.42","2.63","10.79","1.79","91%","9.55","10.74","0.32","1:02","5%","0.84","0.95","0.21","32962.89","1701.47","33648.68","75297.68","22222.07","19874.05","60784.84","12921.21","40118.95","2673.26","15318.84","100.05","761.11","10584.80","72.68","15090.11","79.26","0.00","57647.95","50863.89","37377.01","40464.26","4:05","00:00","00:05","00:15","00:00","10584.95","545.61","3.42","0.11","0.32","0.00","42%","23%","27.54","8936.06","0.42","392.42","0.00","0.47","0","0","0","3442.58","0.00","0.00","0.00","3.00","0","65.00","00:00","35.05","0.11","8","0.92","18%","27%","0%","22%","2%","0","0","0%","0","0%","0","0","0","0","0","0","2","1","0","2","0","0"
"Shaiborg","19","78.9%","13.95","3.79","10.16","0.79","95%","12.89","11.26","0.21","00:38","3%","0.26","0.26","0.00","56388.74","2816.25","37850.32","154402.32","49795.34","27280.21","98060.95","25399.89","59938.11","3357.21","38613.68","6678.42","423.88","7787.00","1426.95","924.95","183.63","0.21","20599.84","17888.37","17366.45","11973.05","4:16","00:00","00:03","00:05","00:00","11328.74","581.79","6.84","0.11","0.32","0.00","42%","23%","27.54","8936.06","0.16","894.74","0.11","0.32","0","0","0","3539.68","0.00","0.00","0.00","0.16","0","297.32","00:00","0.00","0.37","5","6843.23","29%","10%","4%","22%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","2","0","0"
"shancb9","19","15.8%","7.79","2.79","4.95","2.05","91%","5.29","5.63","0.37","1:24","7%","1.37","0.37","0.11","60540.68","3057.82","46152.63","107652.32","40933.95","26276.16","72235.26","8124.16","49692.37","2959.63","19237.89","5490.00","520.86","4419.96","1657.26","4297.53","345.00","0.16","31032.21","25347.63","16638.05","17381.63","2:19","00:00","00:00","00:00","00:00","9328.21","477.00","3.05","0.00","0.05","0.05","13%","12%","23.56","4346.82","1.42","2554.58","0.00","0.16","0","0","0","428.74","0.00","0.00","0.00","1.63","0","0","00:00","0","0.16","11","2.37","32%","13%","2%","12%","0%","0","0","0%","0","0%","0","0","0","1","0","0","3","1","0","0","0","0"
