"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Yatre","21","28.6%","7.24","1.57","5.57","3.62","79%","2.88","4.62","0.29","2:02","11%","2.24","1.29","0.14","35997.24","1954.71","77394.14","90517.67","13798.90","23008.48","110773.67","11292.14","86553.29","3219.95","17541.90","229.00","703.20","5501.95","105.00","12974.95","0.00","0.00","59647.86","48486.05","23650.58","38742.57","1:43","00:00","00:00","00:08","00:00","14840.10","807.49","2.38","0.19","0.10","0.29","16%","11%","25.17","6139.39","1.14","2886.57","0","0","0","0","0","3167.38","0.00","0.00","0.00","3.90","0","6273.10","00:00","295.95","0.00","12","0.71","22%","28%","0%","10%","1%","0","0","0%","0","0%","0","0","0","0","0","0","4","0","0","0","0","0"
"memias","21","28.6%","8.14","1.29","6.81","2.86","85%","4.04","5.05","0.29","1:44","10%","1.14","0.24","0.05","29012.76","1536.94","35641.95","70852.90","13114.53","17091.38","58823.19","8708.81","40897.52","2523.71","18058.19","42878.19","2505.67","24464.76","8240.10","3514.29","324.95","1.19","32617.00","24688.10","14281.18","19121.62","3:02","00:07","00:04","00:14","00:00","8219.57","443.06","4.29","0.10","0.10","0.29","16%","11%","25.17","6139.39","0.57","2637.14","0","0","0","0","0","1070.95","0.00","0.00","0.00","2.62","0","3222.95","00:00","34.67","0.00","11","0.91","17%","16%","19%","17%","3%","0","0","0%","0","0%","0","0","0","1","0","0","7","0","0","3","0","0"
"Darkfin","21","28.6%","8.00","0.76","7.24","3.67","86%","3.68","5.43","0.10","2:15","12%","2.00","0.76","0.14","23021.38","1213.30","24951.05","41856.81","9614.47","17453.43","31537.38","7112.38","19349.81","1446.86","11946.29","18518.29","1802.63","15241.79","3143.05","14492.95","342.05","0.43","58848.90","44776.76","23628.34","46957.86","5:41","00:00","00:06","00:18","00:00","7192.86","386.42","3.86","0.33","0.10","0.29","16%","11%","25.17","6139.39","0.00","1031.62","0","0","0","0","0","1151.05","0.00","0.00","0.00","1.67","0","2462.86","00:00","162.43","0.05","11","0.40","13%","27%","9%","27%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"PetWolverine","20","55%","8.35","2.10","6.20","1.70","89%","6.63","6.25","0.30","1:04","6%","0.90","0.30","0.00","49880.05","2847.73","19258.35","137984.40","36839.31","22502.05","77634.65","19467.95","47345.05","2013.00","27475.80","0.00","131.04","1310.05","0.00","2149.55","0.00","0.00","18646.60","14191.80","12329.12","11003.40","1:44","00:01","00:05","00:02","00:00","8781.05","501.67","5.35","0.00","0.10","0.10","39%","14%","25.77","6220.62","0.80","5720.75","0.05","0.15","0","0","0","1079.95","0","0","0","0","0","0.00","00:00","968.85","0","7","3.13","33%","10%","0%","10%","1%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Lulu","20","55%","8.45","0.95","7.50","1.70","88%","6.17","7.15","0.15","1:06","6%","0.85","0.40","0.00","11324.25","652.38","20449.55","19119.25","7840.96","6228.15","18315.05","4795.00","10378.50","711.70","9950.35","52830.05","3295.97","40455.47","8769.35","2889.50","2010.80","0.90","23875.65","18892.05","15179.43","15012.10","4:40","00:08","00:10","00:18","00:00","5190.85","296.29","5.55","0.00","0.10","0.10","39%","14%","25.77","6220.62","0.60","1654.10","0.00","0.25","0","0","0","420.50","0","0","0","0","0","0.00","00:00","320.55","0","6","0.52","7%","13%","29%","26%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","1","0","0","0","0"
"Barber","20","55%","7.45","1.70","5.70","1.35","78%","6.60","6.90","0.10","00:54","5%","0.70","0.60","0.05","30265.15","1727.52","47736.35","105709.30","24151.88","16321.35","108685.05","11974.70","87412.65","1352.70","13335.40","0.00","1125.88","16515.78","429.00","19660.50","0.00","0.00","56089.00","50801.50","45649.75","31885.70","2:10","00:00","00:01","00:14","00:00","15599.40","865.68","2.30","0.00","0.10","0.10","39%","14%","25.77","6220.62","1.45","4745.80","0.00","0.60","0","0","0","168.70","0","0","0","0","0","0.00","00:00","817.65","0","9","0.57","19%","30%","0%","12%","1%","0","0","0%","0","0%","0","0","0","2","0","0","1","0","0","0","0","0"
"MuffinMan","20","55%","8.25","2.55","5.65","1.90","84%","6.45","5.85","0.15","1:09","7%","0.85","0.55","0.00","36383.05","2068.76","72259.90","78627.55","23656.81","20766.70","69587.05","18285.50","42416.60","1644.50","34759.05","105.00","172.48","2153.32","0.00","2715.00","105.00","0.00","25267.15","19657.25","15753.40","16681.20","00:23","00:00","00:00","00:01","00:00","8834.50","500.74","6.00","0.05","0.10","0.10","39%","14%","25.77","6220.62","0.20","5984.40","0.05","0.15","0","0","0","3160.80","0","0","0","0","0","0.00","00:00","849.90","0","5","1.48","24%","14%","0%","2%","0%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"BoSu","20","30%","8.10","2.80","5.30","3.10","86%","3.77","5.20","0.60","1:54","10%","1.65","0.30","0.00","44758.95","2410.23","68532.30","70232.45","19952.14","26932.50","59669.70","13546.90","36060.25","3037.70","26942.80","0.00","352.86","3697.72","0.00","6266.80","0.00","0.00","27721.25","19318.75","12593.76","17575.95","1:41","00:00","00:00","00:04","00:00","8738.65","471.22","3.30","0.25","0.10","0.30","16%","11%","25.01","5884.46","0.00","2257.60","0","0","0","0","0","1132.25","0.00","0.00","0.00","0.25","0","3863.05","00:00","277.60","0.00","6","1.91","26%","13%","0%","9%","0%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaxtaxman","19","57.9%","12.21","0.68","11.53","0.79","96%","11.22","9.84","0.00","00:29","2%","0.37","0.16","0.00","16868.47","857.70","18832.58","30295.63","14873.09","6293.21","23856.58","6258.11","12589.58","860.47","7400.16","49734.05","2602.16","48308.93","7197.84","1338.42","505.16","1.63","17634.53","15456.05","16060.89","8985.21","2:09","00:12","00:00","00:26","00:00","6502.32","319.91","5.89","0.58","0.21","0.11","27%","19%","26.04","7861.40","2.89","993.47","0","0","0","0","0","307.11","0.00","0.00","0.00","0","0","692.21","00:00","132.89","0.00","4","1.04","10%","9%","27%","11%","3%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"RedFaceBeast","19","57.9%","12.05","3.63","8.42","1.79","95%","8.47","8.53","0.26","1:17","6%","1.00","0.63","0.00","43708.79","2197.65","90940.16","67392.58","28784.03","28363.21","76637.47","13263.79","50898.95","1893.16","35174.21","0.00","624.21","8928.68","177.68","11457.89","0.00","0.00","31820.42","25560.32","20780.01","21115.79","00:31","00:00","00:00","00:05","00:00","11916.74","587.88","6.68","0.05","0.21","0.11","27%","19%","26.04","7861.40","0.47","1228.53","0","0","0","0","0","1460.89","0.00","0.00","0.00","0","0","1548.00","00:00","393.42","0.00","6","1.39","26%","17%","0%","3%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","1","0","0"
