"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Frizank","21","57.1%","11.67","3.90","7.76","1.71","90%","8.18","7.67","0.62","1:18","6%","0.57","0.10","0.00","53058.43","2429.87","92693.33","91247.67","37912.46","31718.48","82554.38","20086.05","48109.14","3628.14","40673.38","0.00","289.89","4506.56","0.00","6488.05","0.00","0.00","26561.86","21647.43","17869.58","16816.38","00:44","00:00","00:00","00:02","00:00","10821.38","504.24","6.76","0.14","0.05","0.00","29%","19%","27.54","10123.27","0","2758.00","0.00","0.10","0","0","0","1194.33","0.00","0.00","0.00","3.71","0","2160.76","00:00","915.52","0.19","6","2.06","26%","10%","0%","3%","0%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","1","0","0"
"Silverbell","20","10%","6.05","1.40","4.60","2.75","74%","2.86","3.55","0.25","2:01","10%","1.95","0.75","0.15","36936.55","1855.58","57502.05","118104.50","17267.85","23502.25","124242.40","6274.00","103270.40","3589.35","11801.45","122.10","1135.36","10289.24","0.00","22820.50","55.40","0.00","61632.55","52712.35","26820.51","40487.25","1:20","00:03","00:05","00:08","00:00","18403.05","926.31","1.80","0.10","0.00","0.15","8%","12%","23.89","4941.84","0.35","324.05","0.00","0.25","0","0","0","946.70","0.00","0.00","0.00","5.30","0","214.55","00:00","213.70","0.05","9","0.65","24%","27%","0%","7%","1%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","0","0","0","0"
"TheCaptain","20","10%","6.75","2.40","4.25","2.50","85%","3.01","3.90","0.40","1:40","8%","1.00","0.50","0.00","35172.60","1770.26","27167.70","109423.55","18051.21","20239.40","67861.80","11966.75","41370.60","2546.60","27217.30","257.40","146.23","1289.34","0.00","2654.75","257.40","0.00","25114.55","19048.95","11955.71","15594.25","7:25","00:06","00:00","00:00","00:00","8425.60","432.32","4.45","0.00","0.00","0.15","8%","12%","23.89","4941.84","0.65","1372.50","0.00","0.10","0","0","0","1543.40","0.00","0.00","0.00","1.10","0","530.40","00:00","536.00","0.00","6","1.66","23%","11%","0%","34%","0%","0","0","0%","0","0%","0","0","0","0","0","0","4","0","0","0","0","0"
"SubZero","20","10%","6.15","2.30","3.75","3.55","78%","2.45","4.05","0.30","2:29","13%","1.80","0.95","0.30","44445.80","2192.17","70635.15","76565.45","16901.67","25188.60","77856.05","6826.95","59702.05","2838.45","19292.80","0.00","243.15","1624.36","0.00","5107.80","0.00","0.00","34976.00","23632.50","11134.49","24336.15","1:06","00:00","00:00","00:00","00:00","10295.65","534.00","3.05","0.05","0.00","0.15","8%","12%","23.89","4941.84","0.15","847.00","0.00","0.25","0","0","0","1261.15","0.00","0.00","0.00","3.20","0","358.90","00:00","902.00","0.15","9","1.35","29%","16%","0%","6%","0%","0","0","0%","0","0%","0","0","0","1","0","0","7","0","0","0","0","0"
"Demongrand","20","55%","11.50","3.75","7.75","2.50","92%","6.80","7.60","0.45","1:56","9%","1.40","0.25","0.05","42114.45","2194.82","56336.75","91938.05","24381.13","22145.80","81186.95","15909.95","55174.10","1798.90","25192.75","5.55","318.86","3617.25","73.80","6054.05","5.55","0.00","38669.15","29453.35","20089.43","24851.05","3:26","00:00","00:01","00:05","00:00","11844.65","603.40","5.00","0.40","0.00","0.15","36%","20%","25.50","6415.67","0.20","0","0.05","0.05","0","0","0","3045.70","0.00","0.00","0.00","0","0","1751.85","00:00","660.60","0","10","1.48","25%","18%","0%","17%","1%","0","0","0%","0","0%","0","0","0","0","0","0","3","0","0","1","0","0"
"Madkazer","20","55%","11.30","2.20","9.10","1.00","89%","9.52","9.60","0.10","00:48","4%","0.40","0.20","0.05","29952.35","1532.52","36589.35","64754.50","24489.35","15052.90","54109.55","11234.45","37426.20","2080.00","18203.70","46870.25","2498.51","43056.43","8730.05","3211.15","958.70","0.90","27122.80","24132.70","19541.02","15174.35","1:17","00:08","00:16","00:08","00:00","9720.80","505.28","5.70","0.40","0.00","0.15","36%","20%","25.50","6415.67","0.40","0","0.00","0.20","0","0","0","1797.45","0.00","0.00","0.00","0","0","1326.20","00:00","223.35","0","11","1.30","17%","13%","22%","6%","3%","0","0","0%","0","0%","0","0","0","0","0","0","15","0","0","0","0","0"
"Nurse","20","35%","9.55","1.15","8.40","1.45","90%","7.30","7.10","0.10","1:02","5%","0.80","0.20","0.00","16059.80","790.22","29866.50","19388.20","12314.44","9782.35","19532.55","2634.80","11442.70","505.50","13436.65","54015.10","2674.11","40672.63","10633.05","157.50","224.45","1.90","20008.50","15601.55","13627.68","10798.10","3:26","00:13","00:24","00:14","00:00","5651.20","277.72","4.60","0.15","0.20","0.10","16%","13%","24.76","6095.54","0.85","1116.75","0","0","0","0","0","1213.05","0.00","0.00","0.00","1.25","0","695.85","00:00","69.35","0.05","4","0.88","9%","10%","28%","17%","4%","0","0","0%","0","0%","0","0","0","0","0","0","9","0","0","0","0","0"
"Muidar","20","35%","8.80","2.40","6.30","2.30","77%","5.17","6.55","0.35","1:37","8%","1.20","0.65","0.00","46389.00","2287.97","45373.50","122160.05","26122.15","24717.50","100335.70","8110.50","76018.05","2233.75","20094.50","0.00","416.06","4130.51","0.00","7862.00","0.00","0.00","34805.25","26680.65","18400.58","19039.10","6:22","00:12","00:00","00:06","00:00","15383.65","760.54","2.85","0.20","0.20","0.10","16%","13%","24.76","6095.54","0.80","3145.10","0","0","0","0","0","2103.70","0.00","0.00","0.00","1.95","0","1408.70","00:00","178.30","0.00","9","1.60","27%","18%","0%","31%","2%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Taco","20","50%","11.65","1.60","10.05","2.65","97%","6.80","8.00","0.05","1:39","7%","1.60","0.75","0.15","32162.50","1529.26","26865.75","62322.60","17336.06","23784.20","50214.95","9400.50","33456.85","1931.40","6475.10","343.10","944.40","10375.23","111.35","19071.35","160.80","0.00","74799.30","60956.95","37923.43","57216.75","2:53","00:00","00:00","00:33","00:00","8964.60","427.27","2.70","0.25","0.15","0.05","27%","16%","26.84","9787.00","0","290.50","0","0","0","0","0","607.25","0.00","0.00","0.00","7.50","0","1060.25","00:00","483.80","0.20","5","0.44","18%","36%","0%","15%","3%","0","0","0%","0","0%","0","0","0","2","0","0","38","0","0","5","0","0"
"Velirayvia","20","50%","11.50","1.20","10.30","1.60","95%","8.33","8.50","0.05","1:06","5%","0.60","0.20","0.00","15314.95","723.05","28904.25","21754.60","9796.54","8940.70","22307.85","6369.35","11504.05","1233.75","11727.90","66906.70","3266.24","47129.08","9765.80","1281.50","512.60","1.35","23392.05","18438.25","14045.93","14352.30","4:45","00:05","00:16","00:03","00:00","6344.65","303.70","4.85","0.05","0.15","0.05","27%","16%","26.84","9787.00","0","1030.10","0","0","0","0","0","543.80","0.00","0.00","0.00","1.85","0","996.15","00:00","139.10","0.20","5","0.73","8%","11%","33%","20%","2%","0","0","0%","0","0%","0","0","0","4","0","0","56","0","0","3","0","0"
