"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"WinterRose","22","45.5%","9.77","2.59","7.09","2.32","83%","5.24","6.86","0.23","1:37","8%","1.41","0.23","0.05","43222.86","2001.87","87836.23","117451.14","21007.96","24991.91","121805.73","17433.91","89470.27","1979.55","35088.18","889.68","852.80","9000.67","160.95","16456.95","685.00","0.00","52140.64","43282.73","25913.41","33362.64","00:52","00:13","00:00","00:05","00:00","16058.77","768.20","5.14","0.27","0.09","0.36","14%","14%","25.64","7713.24","0","2218.50","0","0","0","0","0","8271.55","0.00","0.00","0.00","0","0","2857.23","00:00","0","0.77","9","0.94","23%","22%","1%","4%","1%","0","0","0%","0","0%","0","0","0","0","0","0","6","0","0","0","0","0"
"ToastMonstur","22","45.5%","10.36","3.00","7.32","2.59","90%","5.66","7.64","0.50","1:54","9%","1.36","0.73","0.14","51518.91","2412.21","49927.32","113986.18","29735.51","31413.91","83697.91","12677.05","57583.68","2369.27","26834.09","2717.05","795.38","7586.18","515.91","13375.36","362.32","0.05","56550.00","45825.59","27137.09","41200.82","1:07","00:01","00:03","00:08","00:00","11529.45","547.07","5.32","0.09","0.09","0.36","14%","14%","25.64","7713.24","0","2313.41","0","0","0","0","0","4115.50","0.00","0.00","0.00","0","0","4198.00","00:00","0","0.64","13","1.48","28%","22%","1%","6%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Krizzoh","22","45.5%","10.27","1.36","8.86","2.14","88%","6.75","8.59","0.14","1:33","7%","0.77","0.27","0.00","16782.82","783.94","36977.50","24436.18","9825.68","10189.59","28874.09","4957.09","18751.73","935.82","14343.18","88734.64","4115.24","59567.43","17442.09","866.50","888.14","1.23","33110.14","26372.41","19052.21","21825.14","4:47","00:03","00:12","00:07","00:00","7627.73","360.97","7.45","0.00","0.09","0.36","14%","14%","25.64","7713.24","0","595.05","0","0","0","0","0","2494.50","0.00","0.00","0.00","0","0","1780.59","00:00","0","0.73","8","0.51","9%","14%","37%","22%","2%","0","0","0%","0","0%","0","0","0","0","0","0","3","2","0","0","0","0"
"iggy68","22","45.5%","9.73","1.41","8.23","3.32","83%","4.99","6.82","0.50","2:12","10%","1.95","0.68","0.18","29289.77","1368.42","37120.95","82761.55","12981.50","21157.95","72031.50","11530.91","53948.59","1450.55","15794.50","202.68","627.95","5601.64","240.41","13676.00","0.00","0.00","61504.50","47876.23","24461.58","44127.91","3:59","00:00","00:00","00:23","00:00","11083.23","511.90","3.50","0.00","0.09","0.36","14%","14%","25.64","7713.24","0","312.32","0","0","0","0","0","3463.50","0.00","0.00","0.00","0","0","2822.77","00:00","0","0.05","11","0.55","16%","26%","0%","19%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Aesop","20","60%","11.70","4.05","7.60","2.50","92%","7.21","8.15","0.60","1:48","9%","1.20","0.60","0.05","68055.55","3310.35","46237.90","197650.75","40390.42","38194.20","140652.25","20351.55","98820.65","5955.15","32710.30","0.00","356.69","3689.18","293.45","7149.40","0.00","0.00","37537.00","30013.10","20428.05","22487.50","1:36","00:03","00:00","00:04","00:00","15220.85","739.08","4.85","0.00","0.40","0.35","34%","15%","25.55","6940.81","0","2924.35","0","0","0","0","0","2966.00","0","0","0","1.35","0","0","00:00","0","0.00","10","2.30","35%","16%","0%","7%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Bloodbeast","20","60%","10.95","0.70","10.20","2.25","88%","7.09","7.75","0.05","1:35","8%","0.80","0.40","0.05","11677.15","576.21","32213.90","14493.05","6936.24","6088.80","23105.60","4320.30","14944.80","956.50","9979.15","87869.75","4332.19","58095.41","17051.30","903.20","551.50","1.55","31197.95","24579.05","18537.99","19516.05","1:18","00:05","00:05","00:00","00:00","6530.15","320.68","5.45","0.00","0.40","0.35","34%","15%","25.55","6940.81","0","1453.70","0","0","0","0","0","1687.50","0","0","0","0.00","0","0","00:00","0","0.20","4","0.39","6%","14%","38%","6%","1%","0","0","0%","0","0%","0","0","0","1","0","0","0","0","0","1","0","0"
"MassAssassin","20","50%","9.95","2.60","7.30","2.60","86%","5.49","7.60","0.40","1:44","8%","1.00","0.55","0.15","48177.30","2210.94","63990.85","126247.85","23184.00","28115.55","91377.20","18037.10","57004.20","2156.20","36611.80","0.00","285.75","2903.79","0.00","6358.70","0.00","0.00","38613.30","31367.80","17601.69","23580.90","8:31","00:05","00:00","00:03","00:00","11999.90","556.17","6.50","0.00","0.10","0.35","15%","14%","25.71","7855.02","0","2916.85","0","0","0","0","0","4306.35","0.00","0.00","0.00","0","0","4287.25","00:00","0","0.25","7","1.36","25%","16%","0%","43%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"BigBallaTBag","19","57.9%","11.11","0.74","10.32","2.11","88%","7.43","8.42","0.00","1:33","8%","1.16","0.79","0.00","16833.16","822.06","35347.63","44006.95","10323.88","12749.68","42693.26","13592.42","23157.11","1321.32","17712.21","210.26","848.98","11244.35","0.00","17650.74","210.26","0.00","68783.79","58143.74","38663.17","51738.68","1:18","00:00","00:00","00:14","00:00","8099.05","394.88","5.95","0.00","0.37","0.37","32%","15%","25.55","6992.93","0","1567.11","0","0","0","0","0","2883.05","0","0","0","2.58","0","0","00:00","0","0.00","3","0.25","9%","30%","0%","7%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Ltlbearista","18","0%","7.78","0.83","6.94","2.06","93%","4.52","5.17","0.00","1:37","8%","1.00","0.22","0.06","16918.22","793.10","23327.72","31553.61","10115.16","8922.67","21645.72","5813.17","12273.11","783.06","15090.22","53541.11","2949.48","37891.47","7074.28","5407.44","4115.28","0.94","25430.50","18545.00","14202.48","16239.94","2:36","00:19","00:26","00:29","00:00","5305.39","253.40","6.28","0.00","0.00","0.11","22%","12%","25.14","7155.37","0","1208.06","0.00","0.06","0","0","0","2282.28","0","0","0","0","0","0","00:00","0","0.17","5","0.76","10%","10%","23%","12%","6%","0","0","0%","0","0%","0","0","0","0","0","0","4","2","0","3","0","0"
"Tomgen","18","0%","7.44","1.39","6.06","2.44","88%","4.11","5.94","0.06","1:51","9%","1.33","0.56","0.17","29805.39","1386.81","28182.06","79050.06","16632.45","24184.83","64266.67","5459.11","51551.56","1471.17","10521.28","0.00","1010.78","12920.39","301.56","21111.39","0.00","0.00","79167.50","66934.72","45788.67","59420.44","3:15","00:00","00:04","00:25","00:00","10231.00","481.46","2.89","0.00","0.00","0.11","22%","12%","25.14","7155.37","0","844.94","0.00","0.00","0","0","0","3481.89","0","0","0","0","0","0","00:00","0","0.39","6","0.38","18%","31%","0%","16%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
