"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Døll","3","33.3%","8.33","0.67","7.67","1.00","95%","7.00","7.33","0.00","00:24","4%","0.33","1.00","0.00","12542.67","694.64","25031.33","30907.33","11054.89","7226.00","26342.33","4832.67","15911.33","2279.67","14906.33","75998.33","4307.16","72415.89","13104.33","1604.00","2311.33","1.00","22299.33","20215.67","18981.33","13998.00","00:25","00:00","00:20","00:02","00:00","5438.00","303.40","6.00","0.33","0.00","0.00","28%","10%","25.53","6502.52","0","0","0","0","0","0","0","5560.00","0","0","0","0","0","0.00","00:00","0","0","2","0.55","7%","12%","39%","2%","2%","0","0","0%","0","0%","0","0","0","10","0","0","1","0","0","1","0","0"
"frecklebob","12","41.7%","11.75","1.58","10.17","0.92","88%","10.88","10.83","0.08","00:41","4%","0.50","0.25","0.08","15327.83","878.13","21524.42","17985.25","13340.21","7399.92","12603.25","3210.83","6241.58","494.58","11619.25","69216.42","4117.53","64282.13","10472.92","2683.08","1619.42","1.50","17928.00","14830.42","14629.42","9655.92","3:49","00:08","00:16","00:11","00:00","5047.25","286.76","4.75","0.25","0.08","0.08","28%","18%","25.13","5889.98","1.83","475.00","0.00","0.00","0","0","0","1246.42","0","0","0","0","0","0.00","00:00","0.00","0.25","4","0.96","9%","8%","32%","23%","4%","0","0","0%","0","0%","0","0","0","0","0","0","32","13","0","0","0","0"
"TTWolfE","11","72.7%","9.45","1.36","8.00","1.36","83%","7.53","7.45","0.18","00:56","4%","0.64","0.18","0.00","29547.64","1517.15","35677.45","33465.36","23673.88","15721.36","28236.64","8061.09","15879.18","515.45","12361.91","75428.36","3921.76","58999.50","16235.82","3463.45","552.18","1.00","28056.82","24152.82","21279.73","16995.64","1:48","00:15","00:18","00:17","00:00","5832.55","293.03","3.55","0.00","0.45","0.00","28%","14%","27.09","8710.48","0.00","0","0.09","0.27","0","0","0","3375.36","0","0","0","0.55","0","0","00:00","0","0.00","5","1.03","16%","13%","33%","9%","4%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Frostywind","11","72.7%","9.09","0.91","8.18","1.18","89%","7.41","7.09","0.00","1:03","5%","0.36","0.09","0.00","13539.64","661.52","28063.55","21149.00","9868.35","7104.45","21126.27","5644.45","14015.73","155.36","14493.73","68546.82","3574.78","55794.18","11396.45","1750.64","1687.36","1.36","19533.91","15261.82","14216.53","11610.00","2:31","00:05","00:19","00:07","00:00","5823.64","287.07","6.00","0.00","0.00","0.00","27%","18%","25.35","6638.01","5.18","345.91","0","0","0","0","0","3579.64","0","0","0","0","0","0","00:00","0","0","5","0.73","8%","9%","32%","12%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"HOPE","8","25%","6.88","0.38","6.50","1.63","95%","4.63","5.63","0.00","1:06","6%","0.88","0.13","0.00","13186.00","739.59","21702.75","17328.25","8691.19","7192.38","12545.25","2902.50","7987.13","225.63","11724.13","59436.50","3393.45","41520.98","11271.88","1108.50","0.00","1.75","20551.38","15712.63","13733.00","12408.50","3:18","00:03","00:17","00:16","00:00","4336.50","240.74","4.75","0.00","0.00","0.38","12%","10%","25.96","6364.66","0","634.38","0.00","0.13","0","0","0","1314.88","0","0","0","0","0","0","00:00","57.38","0.13","3","0.65","8%","10%","28%","17%","4%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"CarpeDiem","5","20%","5.00","0.20","4.80","0.40","49%","5.00","5.00","0.00","00:21","2%","0.20","0.00","0.00","16078.60","841.86","16327.60","30218.80","16078.60","8023.00","21248.00","3937.40","15053.60","33.00","8758.80","52795.20","3255.33","58084.60","7284.20","3241.60","2047.80","1.00","10061.60","8616.20","10061.60","5048.40","00:58","00:19","00:03","00:14","00:00","4193.20","238.37","3.60","0.20","0.00","0.00","12%","11%","23.15","3325.98","5.40","0","0","0","0","0","0","361.00","0","0","0","0","0","0.00","00:00","0","0","3","1.83","9%","5%","31%","6%","4%","0","0","0%","0","0%","0","0","0","0","0","0","4","0","0","0","0","0"
"Ælledyn","8","25%","7.13","0.25","6.88","1.88","76%","4.21","5.88","0.00","1:29","8%","1.00","0.13","0.00","16633.63","870.41","28508.88","20140.00","10160.33","9743.00","21525.25","2262.00","16510.63","246.50","10021.88","62802.75","3251.47","37910.00","13767.25","252.00","536.25","1.13","26600.88","20763.25","15795.85","18178.00","4:21","00:08","00:20","00:13","00:00","5775.25","306.19","3.63","0.00","0.13","0.50","13%","9%","25.25","6878.11","2.63","0","0.00","0.13","0","0","0","1553.13","0","0","0","2.38","0","0","00:00","0","0","5","0.62","9%","12%","28%","23%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"GingiBoi","14","57.1%","8.21","0.71","7.50","1.64","86%","6.81","7.14","0.00","1:06","6%","0.86","0.14","0.00","22293.64","1210.61","31058.79","42993.00","15765.10","12071.50","38153.00","6905.86","26371.50","717.07","13583.71","39578.64","2665.43","38465.71","6867.43","8458.00","357.00","0.93","42505.36","36073.07","26830.85","25859.29","4:07","00:03","00:04","00:10","00:00","7847.43","429.35","4.71","0.29","0.00","0.00","26%","16%","26.53","7308.47","0","403.14","0.00","0.00","0","0","0","2639.43","0","0","0","0","0","658.57","00:00","0","0.14","13","0.64","14%","21%","20%","23%","2%","0","0","0%","0","0%","3","0","0","2","0","0","2","0","0","3","0","0"
"Malthanius","3","66.7%","13.67","3.00","10.67","2.00","79%","7.50","7.67","0.67","1:24","7%","1.33","0.33","0.00","47321.67","2954.85","38226.00","106231.00","23307.67","31981.33","81720.33","19007.00","55132.33","549.67","13963.33","0.00","2628.39","22451.00","0.00","39874.00","0.00","0.00","79061.00","70098.67","40992.33","51386.00","5:11","00:00","00:00","00:04","00:00","13979.00","883.83","1.67","0.00","0.33","0.00","37%","26%","23.93","3787.20","0","0","0.67","1.67","0","0","0","4403.00","0","0","0","0","0","0","00:00","138.67","0","2","0.59","26%","37%","0%","37%","0%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","5","0","0"
"TKSTanksta","9","44.4%","7.11","0.78","6.33","1.78","83%","5.74","5.56","0.00","1:35","8%","1.11","0.44","0.00","15177.22","860.19","27137.56","20482.00","11734.73","8868.67","17731.22","4695.56","10917.44","466.00","14629.22","40679.78","2485.12","32239.49","7774.11","3322.22","581.78","0.33","30866.33","23573.33","21032.19","21261.11","4:00","00:02","00:04","00:12","00:00","5094.67","285.02","4.44","0.33","0.00","0.00","26%","15%","26.93","7934.03","0","0","0.00","0.22","0","0","0","1597.22","0","0","0","0","0","396.67","00:00","0","0.00","9","0.59","10%","16%","21%","20%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","1","0","0"
