"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Haze","3","66.7%","14.00","1.67","12.33","0.00","98%","14.00","14.00","0.00","00:00","0%","0.00","0.33","0.00","20449.67","1101.18","41094.00","21112.00","20449.67","10363.00","32959.00","12792.00","17594.67","670.33","10550.67","86441.00","4613.05","87232.00","19508.67","0.00","791.00","1.33","32884.00","32884.00","32884.00","17011.00","5:10","00:04","00:28","00:00","00:00","6928.00","373.93","4.00","0.00","0.00","0.00","50%","30%","25.75","6162.75","2.67","0","0","0","0","0","0","378.67","0","0","0","8.00","0","0","00:00","0","0","2","0.65","10%","15%","39%","27%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Danealor","19","63.2%","11.05","1.26","9.74","1.79","92%","7.49","8.63","0.11","1:08","5%","1.11","0.26","0.00","28766.26","1418.83","20098.53","39277.47","18046.96","16674.21","25408.32","5667.74","15788.53","1186.47","5165.37","80828.84","4095.63","53164.80","22161.32","1422.89","948.74","1.68","31430.21","26581.05","18380.25","21192.58","5:42","00:12","00:08","00:09","00:00","6513.37","325.18","2.47","0.00","0.16","0.05","23%","18%","26.26","7796.02","1.21","456.26","0","0","0","0","0","253.32","0.00","0.00","0.00","0.42","0","0","00:00","0","0.05","8","0.99","12%","12%","30%","28%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"LUXHaze","15","66.7%","10.73","1.40","9.33","1.00","91%","9.53","9.73","0.00","00:45","3%","0.40","0.40","0.00","16664.87","842.10","34781.73","27126.27","13222.75","8605.53","34771.60","10297.53","20940.07","1572.00","9451.33","77954.33","4038.76","65884.01","13389.13","132.73","1335.40","1.60","26145.80","22963.87","20726.26","13938.73","2:21","00:04","00:25","00:02","00:00","6988.73","370.81","3.47","0.13","0.20","0.07","35%","18%","26.14","7312.96","0.53","148.67","0.00","0.13","0","0","0","804.27","0","0","0","0.00","0","325.73","00:00","0.00","0","4","0.71","9%","10%","33%","10%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"r275delta","17","64.7%","8.76","0.82","7.94","1.47","88%","7.31","6.94","0.06","00:58","5%","0.88","0.29","0.06","15940.12","853.76","29007.65","22436.35","12071.53","8865.71","25666.18","5459.94","16619.06","408.59","9332.53","72454.76","3987.53","59641.89","11788.53","2962.00","1460.12","0.88","24298.06","20398.88","16767.11","14824.65","6:11","00:01","00:14","00:18","00:00","6371.47","334.11","2.71","0.00","0.24","0.12","35%","15%","26.70","8145.36","0.29","997.12","0.00","0.35","0","0","0","2871.59","0","0","0","0.59","0","0","00:00","0","0","5","0.72","8%","11%","32%","30%","3%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Gioxerus","17","58.8%","10.41","1.24","9.18","2.06","93%","7.59","7.35","0.12","1:32","8%","0.94","0.41","0.00","21111.41","1077.64","25432.35","27315.88","13095.43","12336.47","25638.94","5337.82","16179.24","1147.12","6908.06","72959.82","3848.91","48472.99","18948.94","3545.47","280.12","1.71","33272.24","27305.53","19179.41","21771.88","4:20","00:05","00:11","00:10","00:00","6607.82","332.26","3.18","0.12","0.18","0.12","37%","15%","25.87","6938.36","0.76","0","0.00","0.24","0","0","0","783.41","0.00","0.00","0.00","0.82","0","0.18","00:00","0","0.00","9","0.65","10%","13%","28%","22%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Harborym","16","43.8%","8.13","0.44","7.69","2.00","93%","5.30","5.56","0.06","1:21","7%","1.19","0.31","0.19","15192.56","803.99","25199.88","25013.88","9154.60","8194.38","19618.00","5646.75","10919.81","541.31","15938.38","66541.06","3647.42","47749.58","9761.94","2893.88","2237.56","0.56","26123.50","19757.63","15456.93","15847.25","5:27","00:08","00:14","00:20","00:00","4901.69","257.29","4.69","0.00","0.06","0.06","24%","13%","25.94","7588.68","1.69","60.31","0.00","0.06","0","0","0","1935.63","0","0","0","0.00","0","0","00:00","0","0.00","6","0.63","8%","10%","27%","29%","4%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","2","0","0","0"
"Ferret102","17","58.8%","9.65","0.88","8.71","1.41","80%","7.06","7.47","0.06","1:09","6%","0.76","0.94","0.00","25598.24","1331.29","29099.12","32575.53","17264.53","14807.41","25341.12","5422.24","15001.35","1335.94","10427.12","62608.76","3609.80","47173.03","15509.29","4474.94","0.00","1.76","28734.59","24250.24","19772.06","18526.82","16:44","00:08","00:01","00:21","00:00","5765.35","303.64","4.41","0.00","0.24","0.12","33%","15%","25.20","6141.09","1.06","235.88","0.00","0.06","0","0","0","0","0.00","0.00","0.00","0.41","0","0","00:00","80.35","0.12","7","0.90","13%","13%","28%","95%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Myraeri","17","52.9%","10.18","0.82","9.35","1.71","89%","6.84","8.00","0.12","1:14","6%","0.94","0.35","0.00","17045.24","888.90","29706.94","22458.29","11265.17","9805.41","22134.53","5815.53","11820.18","883.41","11241.82","63113.94","3282.93","43226.67","11110.59","1565.18","719.18","1.29","26913.18","21514.06","16380.16","16225.24","4:10","00:05","00:18","00:13","00:00","5835.18","295.34","4.18","0.00","0.24","0.12","23%","15%","25.27","6558.83","1.29","98.35","0.00","0.06","0","0","0","439.41","0","0","0","2.18","0","0","00:00","165.41","0.00","6","0.71","10%","12%","29%","21%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Sikarii","16","12.5%","6.19","0.69","5.50","3.13","104%","2.28","3.69","0.19","2:08","11%","1.63","0.50","0.06","23510.31","1272.32","27141.19","45893.44","8377.67","14048.06","37008.88","3210.81","25386.44","1792.81","12325.88","59728.06","3255.39","21784.65","15694.50","1080.00","599.25","0.63","34990.38","25462.94","12551.36","23849.81","3:45","00:03","00:09","00:13","00:00","5891.63","316.63","3.25","0.00","0.06","0.63","14%","9%","25.13","6056.59","0.25","70.63","0.00","0.00","0","0","0","696.69","0","0","0","4.75","0","33.94","00:00","0","0.31","7","0.69","14%","16%","27%","21%","2%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Chymotrypsin","9","33.3%","8.22","1.11","7.11","1.67","102%","6.06","6.00","0.11","1:16","6%","1.00","0.11","0.00","22848.67","1111.14","28491.11","32775.00","17695.04","7430.67","21991.67","4716.22","13234.11","259.67","16410.44","54930.56","2845.39","36700.47","11629.22","2469.44","890.56","0.44","21386.56","15747.22","12503.03","12063.11","2:47","00:07","00:08","00:12","00:00","6113.89","308.41","6.67","0.11","0.22","0.11","18%","12%","25.89","7459.07","0","0","0.00","0.11","0","0","0","4359.89","0.00","0.00","0.00","0","0","653.78","00:00","0","0","7","1.22","11%","10%","27%","14%","2%","0","0","0%","0","0%","0","0","0","1","0","0","2","0","0","1","0","0"
