"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"Valamar","2","50%","12.50","0.00","12.50","1.50","95%","10.25","8.00","0.00","1:18","7%","1.00","0.50","0.00","26762.00","1378.79","13296.00","29982.00","21864.50","13231.00","11823.50","1562.00","9413.50","0.00","6652.00","105814.50","5527.20","84285.75","25917.00","0.00","0.00","1.50","33355.50","28680.50","25156.00","17663.50","00:51","00:20","00:23","00:31","00:00","6346.00","330.62","2.50","0.00","0.50","0.50","20%","18%","25.02","6281.85","0","0","0.00","0.00","0","0","0","1352.00","0","0","0","0","0","0","00:00","0","0","1","0.80","11%","12%","37%","5%","6%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"CCHebi","4","25%","7.50","0.00","7.50","2.25","88%","4.33","5.00","0.00","1:54","9%","0.75","0.25","0.00","18158.25","832.43","22019.50","30859.75","9311.42","8250.00","27432.25","3175.75","21104.50","224.50","6979.75","98653.25","4769.68","59751.67","15213.00","4897.25","6951.00","2.75","30370.25","23469.50","14258.75","18011.75","00:54","00:06","00:21","00:14","00:00","6749.50","289.77","3.75","0.00","0.25","0.00","14%","12%","26.30","8910.42","1.00","1105.00","0.00","0.25","0","0","0","570.50","0","0","0","0","0","0","00:00","0","0","3","0.62","8%","11%","36%","4%","3%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","2","0","0"
"Quantum","22","50%","9.00","1.59","7.36","2.09","81%","5.76","6.68","0.27","1:22","8%","0.95","0.41","0.23","22127.86","1295.06","33067.95","22935.95","12515.62","13650.91","27212.77","4093.64","18979.91","474.95","6383.86","64331.45","4116.72","41234.64","16870.91","4732.91","460.27","1.00","31570.05","25983.77","17383.70","21558.55","1:39","00:05","00:12","00:05","00:00","6370.45","385.48","2.95","0.00","0.18","0.27","26%","19%","24.50","4398.35","2.00","0","0.00","0.36","0","0","0","736.82","0.00","0.00","0.00","2.45","0","0","00:00","0.00","0","4","0.73","12%","13%","29%","12%","3%","0","0","0%","0","0%","0","0","0","0","0","0","7","0","0","0","0","0"
"OXGCascon","25","52%","11.92","1.04","10.84","1.40","86%","9.74","10.00","0.04","1:03","6%","0.88","0.40","0.00","20734.96","1091.28","30043.16","25371.24","16132.75","11507.32","24487.04","4832.52","16960.88","544.12","9725.00","76174.72","4036.70","60635.43","15839.92","388.76","580.80","1.08","27464.96","23123.60","20832.12","16301.28","2:00","00:06","00:19","00:09","00:00","6923.68","373.42","3.24","0.24","0.04","0.36","31%","21%","25.98","6823.63","2.16","1210.96","0.00","0.48","0","0","0","576.16","0.00","0.00","0.00","2.72","0","222.76","00:00","0","0","9","0.76","10%","11%","31%","11%","3%","0","0","0%","0","0%","5","3","0","0","0","0","30","2","0","0","0","0"
"SIMLegacY","24","54.2%","10.33","1.00","9.33","2.13","90%","7.35","7.96","0.08","1:17","8%","1.13","0.29","0.04","16074.79","983.70","23168.63","42492.54","9485.95","7889.92","40335.63","7521.92","26978.92","1044.13","8384.79","58090.96","4000.41","41248.10","10757.50","4601.63","3521.75","1.04","26787.88","20465.13","14284.94","16298.13","2:21","00:07","00:11","00:13","00:00","7071.38","432.24","2.75","0.13","0.29","0.17","28%","18%","26.69","7017.46","0","483.42","0.00","0.21","0","0","0","436.71","0.00","0.00","0.00","1.29","0","549.50","00:01","0","0.00","11","0.65","9%","13%","31%","15%","3%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
"Caesarsalad","18","16.7%","7.83","1.28","6.56","1.89","80%","6.16","5.67","0.28","1:15","7%","1.11","0.44","0.11","23334.06","1255.83","28269.89","20785.78","16660.54","13316.50","17052.72","2648.67","9768.17","1468.39","9020.17","67121.00","3820.56","52050.31","15066.28","3367.22","479.61","1.56","33915.00","28455.94","23836.23","22968.22","2:06","00:06","00:10","00:07","00:00","5135.39","281.70","3.67","0.06","0.00","0.00","21%","13%","24.52","5215.80","1.39","1397.78","0.00","0.17","0","0","0","0","0.00","0.00","0.00","4.28","0","0.00","00:00","92.11","0.06","9","0.66","12%","14%","28%","11%","2%","0","0","0%","0","0%","0","0","0","0","0","0","12","0","0","0","0","0"
"MasonBlaze","21","81%","12.52","2.43","10.05","0.57","93%","11.74","11.90","0.14","00:24","2%","0.52","0.19","0.00","25034.90","1446.42","39413.19","57655.71","22927.62","13497.00","54098.43","11324.19","37287.00","1890.05","16576.86","52702.14","3545.05","58182.38","11304.38","8252.29","1532.38","1.14","29276.62","27299.67","26345.93","16344.24","3:11","00:04","00:10","00:06","00:00","8793.00","502.94","4.10","0.00","0.14","0.05","42%","22%","26.62","7056.92","0.81","1644.29","0.00","0.19","0","0","0","861.14","0","0","0","6.10","0","0","00:00","0","0.00","8","0.88","14%","14%","26%","16%","2%","0","0","0%","0","0%","0","0","0","0","0","0","23","0","0","28","0","0"
"clover","4","75%","7.25","0.50","6.75","1.00","88%","5.63","6.50","0.00","00:32","3%","0.75","0.00","0.00","15810.75","882.05","25172.75","21862.00","12501.00","7653.75","21480.75","2460.75","14764.75","1210.25","9694.00","56932.00","3481.12","48514.88","10558.25","2530.25","1586.25","1.00","22517.00","20060.00","17996.13","11370.75","5:30","00:04","00:21","00:07","00:00","5055.75","295.46","2.25","0.00","0.00","0.00","16%","16%","25.40","6176.33","3.25","1861.50","0.00","0.00","0","0","0","0","0","0","0","0","0","0","00:00","0","0.00","3","0.70","8%","12%","31%","26%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavalosh","4","25%","4.50","0.50","4.00","2.25","42%","4.13","4.50","0.00","1:11","8%","0.75","0.25","0.25","14122.75","910.66","18524.00","22694.25","8906.63","8029.75","22137.25","3514.25","14924.50","117.00","5103.25","46741.00","3377.30","30410.83","10900.00","3683.00","1430.50","1.00","22671.50","17162.50","12621.60","15357.00","6:34","00:08","00:00","00:15","00:00","3119.00","194.43","1.75","0.00","0.00","0.25","13%","10%","23.12","2907.51","0","0","0.00","0.00","0","0","0","32.75","0.00","0.00","0.00","0","0","0.00","00:00","0","0","4","0.61","11%","11%","24%","40%","3%","0","0","0%","0","0%","1","0","0","0","0","0","7","0","0","50","0","0"
"WHwearyday","26","69.2%","10.81","1.85","8.92","2.81","87%","5.05","6.15","0.42","1:48","9%","1.65","0.38","0.08","25051.96","1406.13","31100.88","24012.46","11079.03","12767.69","22046.62","4961.88","13447.62","1361.38","7379.58","54926.31","3079.84","31013.27","10248.62","2754.46","1266.27","1.62","32249.00","24542.81","14477.30","21543.69","1:28","00:07","00:14","00:14","00:00","6226.73","344.62","2.73","0.19","0.27","0.12","21%","18%","27.19","8305.80","0.62","794.62","0.00","0.31","0","0","0","505.77","0","0","0","0.54","0","0.00","00:00","118.54","0","11","0.85","12%","14%","23%","7%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
