name,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Winter is Coming,A,3.8343373493975905,46,129.80034722222223,116.28993055555554,147.19270833333331,167.55381944444446,172.11805555555554,178.5993379993347,338.04093387651875,65.93011135622841,107267.75,154867.38888888888,15143.166666666666,1148.1666666666667,512.9166666666666,3192.277777777778,16.25,54.888888888888886,18,39115.555555555555,3476.722222222222,2025.6944444444443,10706.30524359809,30227.513224283855,19215.472222222226
9-5,A,5.502747252747253,39,124.3125,109.11174242424244,136.7556818181818,149.73804450757575,167.87890625,188.1040651080549,332.6469119616555,73.6186511183292,124680.9696969697,161313.48484848486,18013.545454545456,1124.3049242424242,425.06060606060606,2177.818181818182,16.87878787878788,53.03030303030303,7.878787878787879,41994.121212121216,3805.2652476917615,2801.5151515151515,12355.315977154356,29106.414410215435,17375.303030303025
Cats On My Keyboard,DW,6.562962962962963,40,122.48958333333333,113.38715277777779,142.99305555555557,166.15451388888886,167.17881944444446,163.82109207604358,324.96240869647625,67.4629686679153,99773.22222222222,142677.58333333334,10771.111111111111,1128.4444444444443,358.3611111111111,557.6666666666666,20.583333333333332,90.41666666666667,13.666666666666666,36544.333333333336,3889.5759006076387,3785.4166666666665,11878.902859157986,30407.26951090495,23278.444444444445
Die For Cats,DE,8.360323886639677,50,123.73065476190476,112.70833333333334,139.25744047619045,166.39583333333337,168.72664835164835,176.65371215230812,325.0105208129502,66.23529837817925,111866.14285714286,140924.7380952381,13217.166666666666,1088.0967261904761,320.0238095238095,1561.3333333333333,9.833333333333334,60.666666666666664,21.904761904761905,34614.45238095238,3311.3822660900296,2427.9761904761904,10908.855166480655,31561.76243373326,21623.904761904763
Psistorm Probes,BW,6.770370370370371,34,121.1173780487805,108.8170731707317,136.96798780487802,165.73932926829275,166.8841463414634,152.50552311683785,369.47055231711187,66.82051496002617,95796.19512195123,133009.0487804878,12302.341463414634,1277.8871951219512,358.8048780487805,2131.878048780488,27.414634146341463,66.58536585365853,35.829268292682926,45422.0243902439,4412.387189167302,2178.6585365853657,10639.368568978658,36203.83946860709,25351.219512195115
Gen.M Esports,BE,6.07,39,126.64680232558139,116.79651162790698,139.8706395348837,176.530523255814,165.1451065891473,173.8249600811662,357.90774537971356,69.01616010127172,104077.11627906977,133606.13953488372,13577.906976744185,1273.4447674418604,331.8837209302326,3199.046511627907,16.767441860465116,55.02325581395349,26.209302325581394,44989.023255813954,4442.701796420785,2134.3023255813955,10079.26096361737,35785.3592728016,20701.209302325587
Frank's Furters,C,5.224137931034483,32,121.98674242424242,115.85606060606061,140.5965909090909,172.3049242424242,169.29279119318187,153.88681059916638,315.7291301878592,63.62029326604014,109326.0303030303,162825.9090909091,18165.757575757576,1222.933712121212,424.3939393939394,1184.6666666666667,12.212121212121213,88.6969696969697,9.030303030303031,42029.469696969696,3648.616580847538,2359.090909090909,12469.879549893465,33078.86466471354,25395.954545454544
Heavy Greg,C,8.136363636363637,35,121.02586206896552,112.32974137931035,137.35129310344826,164.65948275862075,167.48922413793093,175.98552360728632,348.53099007222914,59.23191104074159,97327.06896551725,104633.41379310345,11354.655172413793,1082.4181034482758,292.9310344827586,910.1034482758621,12.275862068965518,53.241379310344826,8.862068965517242,36495.48275862069,3427.137931034483,2456.896551724138,11273.397814520475,29824.20421100485,21117.51724137931
Boogans Forever,Nexus,5.360927152317881,37,123.4283088235294,112.01838235294117,137.2058823529412,164.12499999999994,172.88909313725492,168.64570515627997,343.461455336654,63.48694384282212,99370.79411764706,145517.4411764706,8385.70588235294,1191.3970588235295,412.3529411764706,965.6176470588235,20.029411764705884,65.88235294117646,27.441176470588236,42751,4174.411764705882,2308.0882352941176,10944.907154756434,32421.26946662454,20232.58823529412
Spooky Ghosts,BW,6.185022026431718,43,120.38970588235294,108.29963235294117,139.15073529411765,164.40624999999994,167.80882352941182,159.332934711424,353.5042254048453,69.7512053003468,102011.82352941176,134267.9705882353,13252.235294117647,1157.4724264705883,318.8529411764706,1330.235294117647,13.411764705882353,48.794117647058826,19.970588235294116,40905.39705882353,3676.794117647059,2947.794117647059,11848.703900505514,30415.292552274816,21455.397058823524
