name,division,nGames,KDA,Takedowns,Kill Participation,Hero Damage,DPM,Damage Taken,Healing,HPM,Siege Damage,Team Fight Hero Damage,Team Fight Healing,Team Fight Damage Taken,XP Contribution,XPM,CC Time,Root Time,Silence Time,Stun Time,Time Dead,Time Dead %
TravisParty#1690854,BW,4,6.666666666666667,10,0.904040404040404,20753.25,1170.885598023507,23370.25,27675,1731.0132995368408,34059.5,10573.75,4409.25,14467.25,7247,396.6071377668969,87.25,3.25,18.5,8.75,64.5,0.06170316840184836
Amphibagoat#4109723,BW,4,8.6,10.75,0.9852941176470589,31304,1673.979147307756,26023,0,42.553648068669524,63873.25,20471.75,0,16832.75,9564,515.7232276169601,13.75,0,4.75,1,48.75,0.04741720174940024
Zloth#1222907,BW,4,3.5454545454545454,9.75,0.8943850267379679,17472.75,964.4960830189475,60706,393.25,1065.835715908298,26634.75,13007.75,130,48932.75,8005,423.830496621868,74.75,0,10.5,9.25,98.25,0.09133107340079305
Nullius#4224320,BW,4,5.428571428571429,9.5,0.8696630167218402,21549,1162.3563044650869,46361.75,0,846.9213206692928,121104.75,14960,0,25898.75,19268,1047.8454891583388,80.25,0,0,11,58,0.05539979922442103
MoralesNPC#10922026,BW,4,22,11,1,33710.75,1724.1626820032511,10140.75,28147,1791.401337987488,58590.75,9524.75,1258.25,3158.75,9046.75,466.4805816948091,46,3.75,18.75,3.75,20,0.020657155767865212
Kian#9712394,BW,4,2,6,0.8125,20589,985.8937220668001,51430.5,0,504.64237285259577,143225.75,13353.75,0,28808,21597.25,1033.3649969347211,157.75,0,3,17.25,147.25,0.11721581441926192
t3rr0rsaur#6511700,BW,4,5.4,6.75,0.859375,40950.75,1918.8913643737014,31703,9872.75,802.1469047936542,76370.75,19716.5,1264.5,14380.5,8752.5,414.6253331974268,99.75,0,7.75,10.25,50,0.03829997937521154
Peach#10643295,BW,4,13.5,6.75,0.859375,21839.5,1056.8338008830044,19389.25,53103.25,2914.7141887154353,46691.5,9863.5,3802,8184.25,6905,332.72544278853866,106,14.25,12.5,11.75,27.25,0.020977675134719015
Dingo#7905081,BW,4,2,6.5,0.8177083333333334,23996,1139.7952197964821,70977.25,1292.5,748.8581126554104,51622,16893.5,0,45322.75,6304.5,293.52760988409904,279.75,0,0,15.25,132.75,0.10650053219398598
Demongrand#1137184,BW,3,1.5833333333333333,6.333333333333333,0.8541666666666666,25711.333333333332,1205.535285601093,36991,0,325.52909253271747,89200.33333333333,10931,0,17642.333333333332,13244.666666666666,618.6282226273639,121.66666666666667,0,0,2.6666666666666665,186.66666666666666,0.1472515380519306
WizardBeast#10402061,BW,1,2,4,1,12998,669.4248927038626,27236,0,271.26180257510725,74915,9807,0,13319,12682,653.1502145922747,13,0,0,8,115,0.09871244635193133
KawaiiBunneh#4532190,DW,3,1.7777777777777777,5.333333333333333,0.8777777777777778,13021,808.9881172043388,26477.333333333332,62381.333333333336,4770.400722280356,19535.666666666668,6024,8971,17149.666666666668,3342.3333333333335,208.58542665378468,48.666666666666664,11.666666666666666,11.333333333333334,2.3333333333333335,132,0.1357688559559442
flippie8#6375788,DW,4,1.2666666666666666,4.75,0.9291666666666667,37964.75,2282.7826623113287,32842,0,182.94469170245065,84562.25,20443.5,0,21340.25,9332.75,561.7593037482126,197.25,4.75,0,4,138.5,0.1366403807831597
Keladorn#3705346,DW,3,1.8571428571428572,4.333333333333333,0.9166666666666666,26677,1591.1726670425999,44957,0,723.7054771747866,63519,14890.333333333334,0,26183.333333333332,11941.333333333334,717.7548178618785,87.66666666666667,0,0,11.666666666666666,97.66666666666667,0.09843927319679935
JTrinja#10172965,DW,3,1.6363636363636365,6,0.9333333333333332,30294.666666666668,1864.0496890243494,38004.333333333336,0,0,50120,18502.666666666668,0,25374.333333333332,5845.666666666667,366.1027054646861,3,0,0,0,149.33333333333334,0.15554807468647444
Chocolatdor#7673772,DW,4,1.9,4.75,0.9291666666666667,21714.5,1320.8121958982335,60887.75,14887.25,1943.102350231584,30271.25,17348.5,2506.75,49243.25,5258.75,314.7723298783206,91.75,4,3.75,13.25,109.25,0.1104411486576945
Ghost#962260,DW,2,17,17,1,73983.5,4502.784304571334,35996,0,247.0614681469902,102189,52179.5,0,22317.5,11937,728.4461908917788,271,21,0,4.5,30,0.029529375576745617
TheLimeBus#6749724,DW,5,18.25,14.6,0.96,14932.6,856.3144119216926,22431.2,70753,4012.677069989762,44946.8,7248,18090.4,11942.6,8791,454.7751963034598,2748.6,6.2,0,4.4,52,0.0297695720624016
