name,division,nGames,team,KDA,Takedowns,Kill Participation,Hero Damage,DPM,Damage Taken,Healing,HPM,Siege Damage,Team Fight Hero Damage,Team Fight Healing,Team Fight Damage Taken,XP Contribution,XPM,CC Time,Root Time,Silence Time,Stun Time,Time Dead,Time Dead %
BornToShine#6612101,D,7,30 Seconds to Mosh,4.25,7.285714285714286,0.9603174603174605,10566.42857142857,491.20966950607817,27418.571428571428,89509.57142857143,4121.623292827157,24480.285714285714,5649.142857142857,12381.142857142857,17939.571428571428,6845.571428571428,317.5614169377072,28.714285714285715,6.571428571428571,23.428571428571427,0.42857142857142855,65.14285714285714,0.06037593002640213
yelly#203254,D,6,30 Seconds to Mosh,1.68,7,0.8521825396825395,58444.333333333336,2563.8378548967225,37908.166666666664,0,311.1401744761989,77995.33333333333,33988.166666666664,0,22604.666666666668,10734.166666666666,491.0530595461132,162.33333333333334,0,0,1,171.83333333333334,0.13753073756865983
Raka#472181,D,7,30 Seconds to Mosh,1.2258064516129032,5.428571428571429,0.7514172335600907,34858.71428571428,1650.0877924832312,82579.85714285714,0,866.9271341791183,116988.42857142857,15977.57142857143,0,40604,14714.57142857143,740.5112411928569,140.57142857142858,2.142857142857143,0,13.571428571428571,173,0.14296241609499408
ALWH97#8504709,D,7,30 Seconds to Mosh,1.8076923076923077,6.714285714285714,0.9206349206349207,23958.428571428572,1136.8442909282621,88864.71428571429,452.14285714285717,1091.2435438372202,54401.57142857143,14178.857142857143,0,66848.28571428571,7930,394.7594921918504,160.14285714285714,0,0,37.714285714285715,148.28571428571428,0.12136982598081471
SubZero#6639996,D,2,30 Seconds to Mosh,2.5,2.5,1,26098,1803.3725402793993,12470,0,146.5021749982172,48794,15273,0,8316,7230,499.73733645314667,68,0,0,0,19,0.021678670755187906
ToastMonstur#1891452,D,5,Sugarman's Soggy Sandwich Shop,10.166666666666666,12.2,0.9478991596638655,37440.4,2347.0954508383047,20361.8,0,263.26118471421,66869.6,14792.8,0,12216.2,7725.8,474.1253882574412,200.2,14.6,0,18.2,58.2,0.05410275614114494
CrankyRhino#976058,D,8,Sugarman's Soggy Sandwich Shop,5.8,10.875,0.9394607843137255,22177.375,1276.9827773838113,25066.375,26281.375,1482.6333432398062,64633.375,10107,3800,13247,7566.5,414.82494342751977,440,9.875,0,16.625,74.375,0.06298411099384424
DoctorJ#3635632,D,5,Sugarman's Soggy Sandwich Shop,4.909090909090909,10.8,0.8097593582887701,42211.8,2300.3365215734893,46151.4,820.6,905.8174207886648,89494.6,23915,0,24609.4,11745.2,605.7764615565403,85.8,9.4,0,8,86.6,0.06636725295349047
NightKnight#1697180,D,8,Sugarman's Soggy Sandwich Shop,6,11.25,0.9422268907563025,21864.125,1135.3925381735412,49435.875,21632,2042.9100086573817,46315.625,14303.5,5796.125,35860.5,7913.125,427.98017472526635,801.75,0,7.375,11.375,70.75,0.06227301222765123
pad0#598264,D,8,Sugarman's Soggy Sandwich Shop,6.285714285714286,11,0.9186879297173414,34352.625,1915.628961745965,41312.125,0,636.9317708310845,63031.625,23016.25,0,29179.375,8753.75,486.6204054429534,76.625,0,0,14.625,54.625,0.043557571212167856
