team,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Too Many Geese,Heroic,3.78,36,125.33,122.63250000000001,140.7125,158.35104166666662,191.672821969697,189.30945876317105,283.9761701421458,75.97728577104247,128915.8,194176.48,17152.24,1150.4275,561.76,3835.44,23.36,46.88,12.4,36808.4,3647.8,1616,12981.27021484375,29170.86720703125,59228.04
Four Blatant Inters,Heroic,3.3833333333333333,39,129.17592592592592,112.69444444444446,135.31944444444446,162.45138888888886,153.8637962962963,223.2651715541573,295.3312020926251,80.35905522124094,137557.11111111112,182593.07407407407,20963.925925925927,1104.7962962962963,683.074074074074,714.9629629629629,15.296296296296296,64.81481481481481,17.814814814814813,35012.88888888889,3263.3774052372687,2162.037037037037,12543.474663628473,29616.299641927082,56499.18518518518
F.H.K. Marry Kill,D,5.164948453608248,37,123.76973684210526,120.20065789473685,149.17763157894737,164.0197368421052,183.4901315789474,164.29210680860385,320.6551675792612,45.89044659691238,93193.68421052632,116057.21052631579,7482.368421052632,1070.2105263157894,439.2631578947368,1347.6842105263158,12.947368421052632,43.1578947368421,25.894736842105264,34590.21052631579,2739.2631578947367,1919.7368421052631,10473.630242598685,27088.11316560444,55417.36842105263
Dehakin' Donuts,D,3.971830985915493,35,124.85661764705883,119.42647058823529,149.37867647058826,172.87132352941177,182.40441176470586,167.34448493329623,343.28393496477264,65.82895772500979,115963.11764705883,162832.5294117647,15936.764705882353,1216.9338235294117,552.0588235294117,982.2352941176471,41.88235294117647,53.05882352941177,21.88235294117647,40945.76470588235,3090,2469.1176470588234,13121.499095243566,32082.71889361213,67062.76470588235
Banana Fever,Heroic,6.991341991341991,49,120.02083333333333,111.00781250000001,128.78385416666666,165.1875,158.0234375,224.98104762408116,356.06278924495535,82.9179192191059,136315.95833333334,174150.04166666666,15579.708333333334,1202.5885416666667,416.9583333333333,921.8333333333334,13.583333333333334,57.958333333333336,25.458333333333332,42465.083333333336,4157.541666666667,2603.125,15046.967569986979,33505.540588378906,64625.791666666664
Boogans Forever,Nexus,4.137055837563452,34,123.225,115.73750000000001,143.05625,162.54046052631583,177.41118421052624,176.72642251806255,356.1926624426865,62.80261042289425,122268.9,174986.95,10410.35,1302.090625,483.9,1074.9,22.25,60.15,23.4,46601.9,4774.615612792969,1543.75,10223.2763671875,33381.39252929688,69321.8
gillyShark at !Bingo night,A,4.470149253731344,41,116.71875,114.85511363636363,135.7443181818182,164.57386363636368,176.86931818181813,153.19268541829402,383.74557897212765,55.11561679435986,90700.68181818182,128830.22727272728,11115.59090909091,1248.7755681818182,403.95454545454544,1693.909090909091,11.090909090909092,60.68181818181818,17.045454545454547,45494.09090909091,4713.2760009765625,2463.6363636363635,9161.183305220171,35557.38589754971,67127.54545454546
Heavy Hitterz,Heroic,1.8636363636363635,47,125.2451923076923,117.9110576923077,142.97115384615387,175.57451923076923,175.82411858974353,176.6259986046064,318.61263543281143,74.83413014528534,109986.03846153847,175152,13264.615384615385,1121.2764423076924,752.8461538461538,1615.8076923076924,15.076923076923077,49.34615384615385,21.615384615384617,39517.53846153846,1865.076923076923,2274.0384615384614,9631.971153846154,27061.290395883414,61648.346153846156
Blackheart's Booty,Heroic,4.766666666666667,40,120.72395833333333,112.59895833333333,140.26041666666666,172.47916666666669,160.39130434782612,188.6580923364979,331.38722089930775,78.35683183667062,116102.625,171167.625,15220.291666666666,1117.1822916666667,419.25,1128.0833333333333,10.291666666666666,66.04166666666667,17.083333333333332,36701.416666666664,3632.875,2165.625,11717.43061319987,29385.808074951172,59755.291666666664
Frank's Furters,C,3.8056537102473498,25,125.12202380952381,128.22321428571428,144.4077380952381,187.37499999999994,171.9937343358397,152.81242720179003,294.2351547000943,65.25800839488234,106128.19047619047,166026.38095238095,13901.857142857143,1198.982142857143,537.5714285714286,883.2857142857143,24.142857142857142,91.61904761904762,10.19047619047619,38325.42857142857,3933.7722749255954,2030.952380952381,10978.300548735118,30994.423351469493,63640.52380952381
Minion Miners,Nexus,1.9688715953307394,39,118.67105263157895,105.05592105263158,140.17434210526318,165.02302631578942,165.31524122807025,176.91770395087167,383.99850960067766,68.82394014574542,96821.94736842105,151736.31578947368,12243,1163.3618421052631,709.578947368421,1308.5263157894738,16.105263157894736,41.8421052631579,12.631578947368421,45851.47368421053,2913.3684210526317,1094.7368421052631,8169.2549856085525,29023.79409950658,64317.36842105263
License to Kill,C,6.576744186046511,36,124.66666666666667,120.61458333333333,145.37760416666669,175.42187499999994,170.06510416666674,163.78756501141874,325.5898367970219,62.45801475083697,109003.41666666667,145805.375,13826.333333333334,1223.5416666666667,391.9583333333333,2636.1666666666665,14.166666666666666,76.5,7.458333333333333,38767.333333333336,4088.25,2310.4166666666665,11743.73779296875,32341.758697509766,65447.041666666664
Magnitude: Oblivion,Nexus,5.345454545454546,34,116.915625,110.37187499999999,128.75625,157.73437500000006,167.0687499999999,170.82776198067944,382.6007132485465,72.47496481269194,104314.75,151586.85,12689.7,1254.35,467.9,2838,17.4,42.35,19.7,45314.7,4356.45,2517.5,12655.733032226562,36125.73500976562,71786.8
Durotan's Couch,Nexus,3.990566037735849,36,121.2172619047619,111.17857142857144,142.93154761904762,168.8869047619047,167.93452380952385,195.5852699715392,366.2197844712508,74.69117836811094,126996.90476190476,175010.80952380953,18442.666666666668,1227.2232142857142,491.3809523809524,2220.4761904761904,20.952380952380953,39.61904761904762,20.666666666666668,43307.142857142855,4566.464204334077,2439.285714285714,9738.777076357886,33124.737920851934,65928.66666666667
Well, you know...,Nexus,9.067164179104477,33,117.21022727272727,112.07954545454545,137.92045454545453,156.9232954545455,174.64326298701292,188.54142043075115,387.29452322440244,70.0122147041071,106176.95454545454,156238.77272727274,13862.272727272728,1141.8323863636363,253.5,2114.409090909091,15.090909090909092,41,21.5,41914.90909090909,4116.954545454545,2309.090909090909,11533.765203302557,30994.90868030895,59612.181818181816
haunted house,Nexus,4.681592039800995,23,124.83806818181819,111.1875,145.67897727272725,158.12784090909093,162.7807088744588,174.98372451588824,351.85257015552867,69.28173024750127,111982.09090909091,165369.54545454544,16458.272727272728,1223.7982954545455,444.77272727272725,2130.318181818182,25.09090909090909,52.90909090909091,5.409090909090909,40867.181818181816,4889.545454545455,2347.7272727272725,11159.313532049006,34219.391168767754,65664.18181818182
LTK - Groovy Baby!,A,4.368932038834951,39,126.62228260869566,117.0516304347826,147.20652173913044,168.80434782608694,163.53260869565224,186.7974773856639,371.4881401656683,65.05918892113857,113859.65217391304,168670.52173913043,12877.608695652174,1295.3342391304348,462.30434782608694,1024.3478260869565,14.956521739130435,58.73913043478261,13.08695652173913,47058.260869565216,4404.608695652174,2381.521739130435,10678.900252632473,34682.807373046875,69703.08695652174
Little Buff Boyz,A,4.314641744548287,43,128.71354166666666,122.2734375,146.85937500000003,192.21093749999994,182.29166666666674,155.16813009632736,293.370169042751,59.0780949818711,101624.25,154111.70833333334,11074.791666666666,1308.8203125,573.4583333333334,909.2916666666666,18.416666666666668,85.29166666666667,28.166666666666668,38818.083333333336,4227.208333333333,2761.4583333333335,13193.841552734375,34454.46349080404,65228.958333333336
Spooky Ghosts,BW,9.413793103448276,34,126.5,121.65625,140.7048611111111,156.86805555555554,167.93627450980398,164.70477924059716,323.15519748995575,68.88126440047023,96769.16666666667,127304.22222222222,13448.333333333334,1131.6597222222222,244.72222222222223,1090.5,4.722222222222222,51.22222222222222,16.166666666666668,33951.22222222222,4136.611111111111,2831.9444444444443,11778.251098632812,30986.74532063802,57812.61111111111
Uncomfortably Numb,BE,2.8274647887323945,45,122.88920454545455,117.94602272727273,141.88920454545453,175.8380681818182,172.04375000000005,158.54622420230947,345.2832474418084,52.84334711138215,103590.59090909091,142531.31818181818,10606.863636363636,1158.3210227272727,617.4545454545455,839.9545454545455,20.181818181818183,38.04545454545455,21.59090909090909,39670.09090909091,3001.7272727272725,1657.9545454545455,10265.044056285511,30375.61698774858,62571.09090909091
Under Newb Management,A,4.949720670391062,41,126.4429347826087,113.82880434782608,144.7065217391304,174.35869565217394,174.383152173913,152.70028420204255,342.79984694080173,56.21652704717617,94991.39130434782,130981.34782608696,10615.434782608696,1292.046195652174,422.2173913043478,1496.7826086956522,16.91304347826087,48.43478260869565,21.82608695652174,42976.608695652176,4322.95652173913,2373.913043478261,9222.976137907608,35833.5078125,68070.65217391304
Rodney's Imaginary Friends,Heroic,3.961864406779661,40,127.25297619047619,115.54464285714285,134.84226190476193,174.97023809523807,163.105505952381,187.98725474735704,317.1243312851698,55.05380244580537,107329.23809523809,150303.09523809524,12363.238095238095,1182.544642857143,557.6190476190476,556.7619047619048,17.238095238095237,55,22.285714285714285,40691.71428571428,2897.3338913690477,1739.2857142857142,11780.503627232143,30538.60482933408,61920.47619047619
Heavy Greg,A,3.867298578199052,33,121.58806818181819,112.11647727272728,143.67613636363635,166.75000000000006,161.92288961038957,166.15567929628642,353.81538261816087,57.02603930215269,107650.40909090909,146251.22727272726,13880.954545454546,1189.5823863636363,483.04545454545456,939.8636363636364,11.818181818181818,47.45454545454545,5.863636363636363,41810.90909090909,4257.269886363636,1739.7727272727273,10447.029086026278,31737.89581853693,62917.318181818184
Butcher's Meat Market,BE,3.074509803921569,34,121.53472222222223,117.16666666666666,143.25000000000003,164.2673611111111,168.01041666666663,148.60957752019644,366.06611504287366,60.31097723759396,98857.05555555556,152708.94444444444,12701.444444444445,1145.920138888889,611.6666666666666,1778.111111111111,14.88888888888889,44.333333333333336,10.277777777777779,39735.11111111111,3599.5,1472.2222222222222,10264.672173394098,29869.555135091145,61713.555555555555
Objective Optional,BW,3.2443181818181817,36,120.41875,116.3625,140.83749999999998,172.22187500000007,185.328125,157.0999516020963,367.19869531157883,51.131065124868186,94927.4,124042.3,7502.95,1155.15625,439.05,816.85,12.2,44.65,18.45,43217,3115.35,1647.5,7476.725,28172.340063476564,62465.55
Citrus Colored Squash,A,4.438943894389439,38,121.255,110.535,138.93000000000004,166.66750000000002,174.07999999999993,177.47508399483624,395.46200116844875,61.508539151614066,126174.68,158890.72,11423.6,1324.3575,510.52,1021.24,14.68,75.76,13.72,50633.28,3244.36,2367,13305.073232421875,34613.60337890625,73650.08
Braincellmates,A,6.8441558441558445,29,121.465625,113.28124999999999,138.190625,172.56562499999995,170.2437500000001,160.27280301041895,345.7095644488623,70.17294082958132,92325.85,147589.35,13794.3,1236.103125,329,640.55,14.75,38.1,43.5,43137.8,3969.9,2748.75,10864.351196289062,33394.358947753906,66560.95
Phoenix Rising Amethyst,D,8.453125,23,119.27430555555556,107.97222222222221,138.22569444444446,156.49652777777777,158.30208333333337,175.27220271932316,386.5590763939925,59.03171722313487,96441,120017.55555555556,7455.777777777777,1164.7743055555557,336.3333333333333,1394.611111111111,37.833333333333336,48.666666666666664,27.72222222222222,41564.11111111111,3508.5555555555557,3402.777777777778,10425.812106662326,33026.78929307726,63865.166666666664
